"0"|"1"|"2"|"3"
"Company"|"Old FV"|"New FV"|"Split Date"
"Gemstone Inv  Add to Watchlist  Add to Portfolio"|"10"|"1"|"13-08-2010"
"Jayshree Tea  Add to Watchlist  Add to Portfolio"|"10"|"5"|"13-08-2010"
"Rainbow Papers  Add to Watchlist  Add to Portfolio"|"10"|"2"|"11-08-2010"
"Edelweiss  Add to Watchlist  Add to Portfolio"|"5"|"1"|"10-08-2010"
"Farmax India  Add to Watchlist  Add to Portfolio"|"5"|"1"|"03-08-2010"
"Pratibha Ind  Add to Watchlist  Add to Portfolio"|"10"|"2"|"30-07-2010"
"MMTC Ltd  Add to Watchlist  Add to Portfolio"|"10"|"1"|"29-07-2010"
"Luharuka Media Add to Watchlist  Add to Portfolio"|"10"|"1"|"29-07-2010"
"Emami  Add to Watchlist  Add to Portfolio"|"2"|"1"|"21-07-2010"
"EICL  Add to Watchlist  Add to Portfolio"|"10"|"2"|"07-07-2010"
"Tulip Telecom  Add to Watchlist  Add to Portfolio"|"10"|"2"|"06-07-2010"
"Kriptol Ind  Add to Watchlist  Add to Portfolio"|"10"|"5"|"02-07-2010"
"TATA Cons. Prod  Add to Watchlist  Add to Portfolio"|"10"|"1"|"30-06-2010"
"Allied Computer  Add to Watchlist  Add to Portfolio"|"1"|"10"|"29-06-2010"
"Veritas  Add to Watchlist  Add to Portfolio"|"10"|"1"|"28-06-2010"
"Chartered Logis  Add to Watchlist  Add to Portfolio"|"10"|"1"|"23-06-2010"
"Genesys Int  Add to Watchlist  Add to Portfolio"|"10"|"5"|"23-06-2010"
"Sterlite Ind  Add to Watchlist  Add to Portfolio"|"2"|"1"|"21-06-2010"
"Bodal Chemicals  Add to Watchlist  Add to Portfolio"|"10"|"2"|"10-06-2010"
"Kabra Extrusion  Add to Watchlist  Add to Portfolio"|"10"|"5"|"17-05-2010"
"EngineersInd  Add to Watchlist  Add to Portfolio"|"10"|"5"|"06-05-2010"
"Vipul  Add to Watchlist  Add to Portfolio"|"2"|"1"|"04-05-2010"
"Manappuram Fin  Add to Watchlist  Add to Portfolio"|"10"|"2"|"03-05-2010"
"Tatia Global  Add to Watchlist  Add to Portfolio"|"10"|"1"|"22-04-2010"
"Unity Infraproj  Add to Watchlist  Add to Portfolio"|"10"|"2"|"07-04-2010"
"Paisalo Digital  Add to Watchlist  Add to Portfolio"|"10"|"2"|"05-04-2010"
"M&M  Add to Watchlist  Add to Portfolio"|"10"|"5"|"29-03-2010"
"Simmonds-Marsha  Add to Watchlist  Add to Portfolio"|"10"|"2"|"29-03-2010"
"KM Sugar Mills  Add to Watchlist  Add to Portfolio"|"10"|"2"|"26-03-2010"
"Ipca Labs  Add to Watchlist  Add to Portfolio"|"10"|"2"|"22-03-2010"
"Murli  Add to Watchlist  Add to Portfolio"|"10"|"2"|"18-03-2010"
"Suprajit Eng  Add to Watchlist  Add to Portfolio"|"5"|"1"|"18-03-2010"
"Well Pack Paper  Add to Watchlist  Add to Portfolio"|"10"|"1"|"15-03-2010"
