"0"|"1"|"2"|"3"
"Company"|"Old FV"|"New FV"|"Split Date"
"HT Media  Add to Watchlist  Add to Portfolio"|"10"|"2"|"28-12-2006"
"KEI Industries  Add to Watchlist  Add to Portfolio"|"10"|"2"|"21-12-2006"
"Lakshmi Energy  Add to Watchlist  Add to Portfolio"|"10"|"2"|"15-12-2006"
"Lakshmi Machine  Add to Watchlist  Add to Portfolio"|"100"|"10"|"13-12-2006"
"Future Ent  Add to Watchlist  Add to Portfolio"|"10"|"2"|"12-12-2006"
"FEL  Add to Watchlist  Add to Portfolio"|"10"|"2"|"12-12-2006"
"Graphite India  Add to Watchlist  Add to Portfolio"|"10"|"2"|"11-12-2006"
"Sanwaria Consum  Add to Watchlist  Add to Portfolio"|"5"|"2"|"08-12-2006"
"Transport Corp  Add to Watchlist  Add to Portfolio"|"10"|"2"|"05-12-2006"
"Alicon Castallo  Add to Watchlist  Add to Portfolio"|"10"|"5"|"04-12-2006"
"Jaipan Inds  Add to Watchlist  Add to Portfolio"|"1"|"10"|"24-11-2006"
"Supreme Tex  Add to Watchlist  Add to Portfolio"|"10"|"5"|"17-11-2006"
"Shreejal Info  Add to Watchlist  Add to Portfolio"|"10"|"1"|"14-11-2006"
"Mazda  Add to Watchlist  Add to Portfolio"|"2"|"10"|"13-11-2006"
"Indian Hotels  Add to Watchlist  Add to Portfolio"|"10"|"1"|"27-10-2006"
"GMM Pfaudler  Add to Watchlist  Add to Portfolio"|"10"|"2"|"20-10-2006"
"Ontrack Systems  Add to Watchlist  Add to Portfolio"|"1"|"10"|"19-10-2006"
"Cat Technologie  Add to Watchlist  Add to Portfolio"|"1"|"10"|"19-10-2006"
"Elecon Eng  Add to Watchlist  Add to Portfolio"|"10"|"2"|"17-10-2006"
"Munjal Showa  Add to Watchlist  Add to Portfolio"|"10"|"2"|"16-10-2006"
"Swan Energy  Add to Watchlist  Add to Portfolio"|"100"|"2"|"13-10-2006"
"Manali Petro  Add to Watchlist  Add to Portfolio"|"10"|"5"|"28-09-2006"
"Navneet  Add to Watchlist  Add to Portfolio"|"10"|"2"|"27-09-2006"
"Geojit Fin  Add to Watchlist  Add to Portfolio"|"10"|"1"|"26-09-2006"
"Alembic  Add to Watchlist  Add to Portfolio"|"10"|"2"|"26-09-2006"
"Voltas  Add to Watchlist  Add to Portfolio"|"10"|"1"|"22-09-2006"
"Blue Star  Add to Watchlist  Add to Portfolio"|"10"|"2"|"20-09-2006"
"Simplex Infra  Add to Watchlist  Add to Portfolio"|"10"|"2"|"13-09-2006"
"Panyam Cements  Add to Watchlist  Add to Portfolio"|"100"|"10"|"13-09-2006"
"EIH  Add to Watchlist  Add to Portfolio"|"10"|"2"|"12-09-2006"
"HLV  Add to Watchlist  Add to Portfolio"|"10"|"2"|"08-09-2006"
"Exide Ind  Add to Watchlist  Add to Portfolio"|"10"|"1"|"08-09-2006"
"Super Spinning  Add to Watchlist  Add to Portfolio"|"10"|"1"|"01-09-2006"
"Godrej Ind  Add to Watchlist  Add to Portfolio"|"6"|"1"|"25-08-2006"
"Godrej Consumer  Add to Watchlist  Add to Portfolio"|"4"|"1"|"24-08-2006"
