"0"|"1"|"2"|"3"|"4"
"COMPANY"|"Bonus Ratio"|"DATE"|"DATE"|"DATE"
"COMPANY"|"Bonus Ratio"|"Announcement"|"Record"|"Ex-Bonus"
"Hazoor"|"1:1"|"05-10-2006"|"-"|"28-12-2006"
"Brady and Morri"|"1:1"|"23-09-2006"|"15-12-2006"|"14-12-2006"
"CG Power"|"2:5"|"14-10-2006"|"15-12-2006"|"14-12-2006"
"Hind Dorr-Olive"|"1:5"|"01-06-2006"|"24-11-2006"|"23-11-2006"
"Tera Software"|"1:4"|"28-08-2006"|"-"|"23-11-2006"
"Arshiya"|"3:2"|"16-09-2006"|"21-11-2006"|"20-11-2006"
"Lakshmi Vilas"|"1:2"|"06-07-2006"|"24-11-2006"|"17-11-2006"
"Minal Ind"|"19:5"|"01-08-2005"|"15-11-2006"|"14-11-2006"
"Supreme Ind"|"1:1"|"01-08-2006"|"14-11-2006"|"13-11-2006"
"Maha ShreeUmaid"|"1:1"|"31-07-2006"|"10-11-2006"|"09-11-2006"
"Sukhjit Starch"|"1:1"|"20-07-2006"|"-"|"08-11-2006"
"Mah Corporation"|"5:3"|"14-08-2006"|"06-11-2006"|"03-11-2006"
"Jeet Machine"|"7:1"|"04-09-2006"|"15-11-2006"|"02-11-2006"
"Subway Finance"|"7:2"|"04-07-2006"|"15-11-2006"|"02-11-2006"
"JagranPrakashan"|"1:5"|"29-07-2006"|"03-11-2006"|"02-11-2006"
"Opto Circuits"|"1:1"|"13-06-2006"|"31-10-2006"|"30-10-2006"
"ONGC"|"1:2"|"26-07-2006"|"30-10-2006"|"27-10-2006"
"Tricom India"|"1:1"|"21-06-2006"|"27-10-2006"|"26-10-2006"
"Siyaram Silk"|"1:2"|"12-06-2006"|"20-10-2006"|"19-10-2006"
"Vishnu Sugar"|"1:1"|"31-07-2006"|"27-10-2006"|"13-10-2006"
"AVT Natural"|"1:1"|"29-07-2006"|"13-10-2006"|"12-10-2006"
"Berger Paints"|"3:5"|"06-06-2006"|"13-10-2006"|"12-10-2006"
"Mahindra Satyam"|"1:1"|"21-04-2006"|"10-10-2006"|"09-10-2006"
"Larsen"|"1:1"|"07-06-2006"|"29-09-2006"|"28-09-2006"
"Guj NRE Coke"|"1:1"|"03-06-2006"|"29-09-2006"|"28-09-2006"
"Guj NRE (DVR)"|"1:1"|"03-06-2006"|"29-09-2006"|"28-09-2006"
"La Opala RG"|"1:1"|"02-08-2006"|"26-09-2006"|"25-09-2006"
"Swasti Vinayaka"|"1:2"|"29-07-2006"|"26-09-2006"|"25-09-2006"
"Jay BharatMarut"|"1:1"|"01-08-2006"|"26-09-2006"|"25-09-2006"
"Alps Industries"|"1:1"|"29-04-2006"|"-"|"22-09-2006"
"NCC"|"1:1"|"29-05-2006"|"21-09-2006"|"20-09-2006"
"JTEKT India"|"1:1"|"20-04-2006"|"15-09-2006"|"14-09-2006"
"Hercules Hoists"|"1:1"|"31-05-2006"|"15-09-2006"|"14-09-2006"
"EIH"|"1:2"|"31-05-2006"|"19-09-2006"|"12-09-2006"
"Cheviot Company"|"1:2"|"19-06-2006"|"12-09-2006"|"11-09-2006"
"KS Oils"|"1:1"|"29-04-2006"|"11-09-2006"|"08-09-2006"
"Bhagyanagar Ind"|"1:1"|"13-06-2006"|"08-09-2006"|"07-09-2006"
"NESCO"|"1:1"|"12-06-2006"|"05-09-2006"|"04-09-2006"
"Cadila Health"|"1:1"|"28-04-2006"|"31-08-2006"|"30-08-2006"
"Dr Reddys Labs"|"1:1"|"31-05-2006"|"29-08-2006"|"28-08-2006"
"Invest and Prec"|"3:1"|"02-05-2006"|"25-08-2006"|"24-08-2006"
"Precision Elec"|"3:2"|"26-06-2006"|"22-08-2006"|"21-08-2006"
"CORE Education"|"2:1"|"07-06-2006"|"18-08-2006"|"17-08-2006"
"Banswara Syntex"|"1:2"|"11-05-2006"|"18-08-2006"|"17-08-2006"
"Lupin"|"1:1"|"17-05-2006"|"14-08-2006"|"11-08-2006"
"Prism Info"|"2:1"|"06-06-2006"|"21-08-2006"|"09-08-2006"
"Anuh Pharma"|"1:1"|"29-04-2006"|"07-08-2006"|"31-07-2006"
"UB Holdings"|"1:1"|"28-04-2006"|"31-07-2006"|"28-07-2006"
"TCS"|"1:1"|"17-04-2006"|"31-07-2006"|"28-07-2006"
"Cyient"|"1:2"|"19-04-2006"|"04-08-2006"|"28-07-2006"
"Havells India"|"1:1"|"18-05-2006"|"21-07-2006"|"20-07-2006"
"Karur Vysya"|"1:1"|"25-05-2006"|"-"|"19-07-2006"
"Infosys"|"1:1"|"14-04-2006"|"14-07-2006"|"13-07-2006"
"AB Money"|"1:1"|"03-05-2006"|"-"|"12-07-2006"
"Jaybharat Text"|"15:10"|"04-05-2006"|"07-07-2006"|"06-07-2006"
"KSL & Ind"|"1:5"|"02-05-2006"|"08-07-2006"|"06-07-2006"
"Atlas Copco"|"1:1"|"28-04-2006"|"27-06-2006"|"26-06-2006"
"ILandFS"|"1:2"|"04-04-2006"|"27-06-2006"|"23-06-2006"
"Unitech"|"12:1"|"12-05-2006"|"30-06-2006"|"23-06-2006"
"Grindwell Norto"|"1:1"|"06-03-2006"|"02-06-2006"|"26-05-2006"
"National Perox"|"3:2"|"22-02-2006"|"02-06-2006"|"26-05-2006"
"Sterlite Ind"|"1:1"|"10-02-2006"|"12-05-2006"|"05-05-2006"
"Cipla"|"3:2"|"11-02-2006"|"25-04-2006"|"24-04-2006"
"Jayant Agro-Org"|"1:1"|"03-03-2006"|"17-04-2006"|"13-04-2006"
"Kalpataru Power"|"1:1"|"31-03-2006"|"17-04-2006"|"13-04-2006"
"Mastek"|"1:1"|"12-01-2006"|"28-03-2006"|"27-03-2006"
"The Investment"|"1:1"|"31-01-2006"|"22-03-2006"|"21-03-2006"
"Shree Ram Urban"|"1:5"|"09-02-2006"|"31-03-2006"|"17-03-2006"
"GSL Nova Petro"|"1:1"|"30-01-2006"|"20-03-2006"|"17-03-2006"
"Marathon Realty"|"4:1"|"15-02-2006"|"29-03-2006"|"16-03-2006"
"Torrent Pharma"|"1:1"|"15-12-2005"|"27-02-2006"|"20-02-2006"
"VIP Clothing"|"3:4"|"27-12-2005"|"23-02-2006"|"16-02-2006"
"Shah Alloys"|"1:1"|"13-09-2005"|"14-02-2006"|"13-02-2006"
"Mercator"|"3:2"|"20-12-2005"|"03-02-2006"|"02-02-2006"
"KLG Systel"|"1:1"|"12-12-2005"|"30-01-2006"|"27-01-2006"
"Donear Ind"|"1:1"|"05-12-2005"|"03-02-2006"|"27-01-2006"
