"0"|"1"|"2"|"3"|"4"
"Manappuram Fin"|"1:1"|"18-03-2010"|"04-05-2010"|"03-05-2010"
"SJ Corporation"|"3:1"|"26-09-2009"|"14-04-2010"|"12-04-2010"
"Castrol"|"1:1"|"18-02-2010"|"12-04-2010"|"09-04-2010"
"Cadila Health"|"1:2"|"25-02-2010"|"06-04-2010"|"05-04-2010"
"Poly Medicure"|"1:1"|"09-02-2010"|"29-03-2010"|"26-03-2010"
"Empower India"|"23:2"|"12-02-2010"|"25-03-2010"|"23-03-2010"
"Chromatic India"|"5:2"|"29-01-2010"|"23-03-2010"|"22-03-2010"
"Indo Asian Fin"|"2:1"|"05-02-2010"|"19-03-2010"|"18-03-2010"
"IVRCL"|"1:1"|"28-01-2010"|"19-03-2010"|"18-03-2010"
"Suprajit Eng"|"1:1"|"30-01-2010"|"20-03-2010"|"18-03-2010"
"Pidilite Ind"|"1:1"|"28-01-2010"|"17-03-2010"|"15-03-2010"
"Well Pack Paper"|"3:4"|"23-01-2010"|"17-03-2010"|"15-03-2010"
"Hind Dorr-Olive"|"1:1"|"29-01-2010"|"17-03-2010"|"15-03-2010"
"Shree Renuka"|"1:1"|"25-01-2010"|"17-03-2010"|"15-03-2010"
"Chembond Chem"|"1:1"|"30-01-2010"|"11-03-2010"|"10-03-2010"
"Sterlite Techno"|"1:1"|"18-01-2010"|"10-03-2010"|"09-03-2010"
"CG Power"|"3:4"|"28-01-2010"|"09-03-2010"|"08-03-2010"
"Sanraa Media"|"5:4"|"12-01-2010"|"05-03-2010"|"04-03-2010"
"FCS Software"|"1:1"|"18-01-2010"|"02-03-2010"|"26-02-2010"
"Mountever Trade"|"3:1"|"17-06-2009"|"12-02-2010"|"10-02-2010"
"Super Tannery"|"1:2"|"31-07-2009"|"09-02-2010"|"08-02-2010"
"Diamant Infra"|"3:1"|"24-12-2009"|"09-02-2010"|"08-02-2010"
"VST Tillers"|"1:2"|"26-06-2009"|"09-02-2010"|"08-02-2010"
"Ashtavinayak"|"4:1"|"26-12-2009"|"02-02-2010"|"01-02-2010"
"Newtime Infra"|"2:1"|"03-12-2009"|"30-01-2010"|"28-01-2010"
"Nakoda"|"1:1"|"03-12-2009"|"25-01-2010"|"22-01-2010"
