"Year"|"Company"|"Rights Ratio"|"FV"|"Premium"|"Announcement"|"Record"|"Ex-Rights"
"2007"|"Shalimar Prod"|"27:100"|"1"|"0"|"22-02-06"|"09-06-07"|"04-06-07"
"2007"|"Info Drive Soft"|"4:1"|"10"|"2"|"26-12-06"|"19-05-07"|"14-05-07"
"2007"|"Trent"|"1:5"|"10"|"490"|"02-08-06"|"15-05-07"|"08-05-07"
"2007"|"SSPDL"|"2:1"|"10"|"8"|"20-08-05"|"03-05-07"|"24-04-07"
"2007"|"Auto Corp Goa"|"3:10"|"10"|"465"|"26-07-06"|"28-02-07"|"21-02-07"
"2007"|"LG Balakrishnan"|"1:9"|"101"|"0"|"20-03-06"|"31-01-07"|"22-01-07"
"2007"|"Vimal Oils"|"3:5"|"10"|"15"|"20-04-06"|"29-01-07"|"19-01-07"
"2007"|"Uniproducts"|"1:1"|"10"|"30"|"07-10-05"|"15-01-07"|"08-01-07"
"2008"|"Thomas Cook"|"35:100"|"1"|"35"|"26-08-08"|"27-12-08"|"19-12-08"
"2008"|"Multiplus Hold"|"2:1"|"10"|"2"|"05-08-08"|"22-12-08"|"12-12-08"
"2008"|"Federal-Mogul"|"71:100"|"10"|"46"|"24-10-08"|"10-11-08"|"03-11-08"
"2008"|"Sumeet Ind"|"1:1"|"10"|"5"|"15-05-08"|"29-10-08"|"22-10-08"
"2008"|"Dish TV"|"100:121"|"1"|"21"|"24-04-08"|"16-10-08"|"08-10-08"
"2008"|"Dish TV"|"100:121"|"1"|"21"|"06-10-08"|"16-10-08"|"08-10-08"
"2008"|"Tayo Rolls"|"7:8"|"10"|"116"|"15-10-07"|"10-10-08"|"01-10-08"
"2008"|"Ugar Sugar Work"|"1:4"|"1"|"7"|"18-08-07"|"29-09-08"|"22-09-08"
"2008"|"Sadhana Nitro"|"7:2"|"10"|"0"|"07-12-07"|"00-00-00"|"16-09-08"
"2008"|"Restile Ceramic"|"26:37"|"10"|"0"|"05-09-08"|"00-00-00"|"15-09-08"
"2008"|"Tata Inv Corp"|"1:5"|"650"|"0"|"16-05-08"|"17-09-08"|"10-09-08"
"2008"|"TML-D"|"1:6"|"10"|"330"|"28-05-08"|"16-09-08"|"09-09-08"
"2008"|"Tata Motors"|"1:6"|"10"|"330"|"28-05-08"|"16-09-08"|"09-09-08"
"2008"|"TML-D"|"1:6"|"10"|"295"|"29-05-08"|"16-09-08"|"09-09-08"
"2008"|"Tata Motors"|"1:6"|"10"|"295"|"29-05-08"|"16-09-08"|"09-09-08"
"2008"|"Damodar Ind"|"8:5"|"10"|"25"|"17-01-07"|"09-09-08"|"01-09-08"
"2008"|"Hindalco"|"3:7"|"1"|"95"|"20-06-08"|"00-00-00"|"28-08-08"
"2008"|"JK Tyre & Ind"|"1:3"|"10"|"75"|"30-07-07"|"14-07-08"|"07-07-08"
"2008"|"Entegra"|"1:1"|"10"|"15"|"05-04-06"|"04-07-08"|"26-06-08"
"2008"|"Oudh Sugar Mill"|"22:100"|"10"|"50"|"17-10-07"|"02-07-08"|"24-06-08"
"2008"|"Fact Enterprise"|"3:1"|"10"|"0"|"27-08-07"|"24-06-08"|"17-06-08"
"2008"|"Sanguine Media Add to Watchlist"|"1:1"|"10"|"13"|"04-06-08"|"23-06-08"|"16-06-08"
"2008"|"Century Extr"|"33:47"|"1"|"3"|"15-12-07"|"26-05-08"|"16-05-08"
"2008"|"United Brewerie"|"1:9"|"1"|"176"|"28-09-07"|"21-04-08"|"10-04-08"
"2008"|"Visagar Polytex"|"2:1"|"10"|"0"|"23-07-07"|"22-04-08"|"10-04-08"
"2008"|"Filmcity Media"|"1:11"|"1"|"0"|"30-08-07"|"15-04-08"|"07-04-08"
"2008"|"Godrej Consumer"|"1:7"|"1"|"122"|"23-11-07"|"19-03-08"|"12-03-08"
"2008"|"Network 18"|"1:5"|"200"|"45"|"05-03-07"|"18-03-08"|"11-03-08"
"2008"|"Bodal Chemicals"|"1:2"|"10"|"10"|"16-03-07"|"12-03-08"|"04-03-08"
"2008"|"Indian Hotels"|"1:5"|"1"|"69"|"13-08-07"|"28-02-08"|"21-02-08"
"2008"|"Mukesh Steels"|"2:1"|"10"|"0"|"14-03-07"|"15-02-08"|"01-02-08"
