"Year"|"Company"|"Rights Ratio"|"FV"|"Premium"|"Announcement"|"Record"|"Ex-Rights"
"2017"|"Karur Vysya"|"1:6"|"2"|"74"|"29-05-17"|"13-10-17"|"12-10-17"
"2017"|"Indian Hotels"|"1:5"|"1"|"74"|"21-08-17"|"05-10-17"|"04-10-17"
"2017"|"Bansal Roofing"|"1:2"|"10"|"20"|"18-05-17"|"19-09-17"|"18-09-17"
"2017"|"Denis Chem Lab"|"2:11"|"10"|"74"|"13-04-17"|"09-09-17"|"07-09-17"
"2017"|"Intellect Desig"|"5:22"|"5"|"81"|"13-01-17"|"18-07-17"|"17-07-17"
"2017"|"Zenotech Labs"|"17:22"|"10"|"35"|"21-05-16"|"02-06-17"|"01-06-17"
"2017"|"Vardhman Steels"|"2:3"|"10"|"40"|"14-10-16"|"10-04-17"|"07-04-17"
"2017"|"Mahindra Life"|"1:4"|"10"|"282"|"27-10-16"|"31-03-17"|"30-03-17"
"2017"|"Kingfa Science"|"18:91"|"10"|"740"|"24-10-16"|"10-03-17"|"09-03-17"
"2017"|"Vishal Fabrics"|"2:3"|"10"|"90"|"23-08-16"|"03-03-17"|"02-03-17"
"2017"|"Canara Bank"|"1:10"|"10"|"197"|"23-09-16"|"20-02-17"|"17-02-17"
"2017"|"South Ind Bk"|"1:3"|"1"|"13"|"21-12-16"|"17-02-17"|"16-02-17"
"2017"|"Archit Organosy"|"2:1"|"10"|"15"|"15-07-16"|"11-02-17"|"09-02-17"
"2017"|"IP Rings"|"4:5"|"10"|"79"|"05-05-16"|"17-01-17"|"16-01-17"
"2018"|"Capital India"|"4:5"|"10"|"62"|"25-07-18"|"19-12-18"|"18-12-18"
"2018"|"Emerald Leasing"|"127:100"|"10"|"0"|"14-02-17"|"30-11-18"|"29-11-18"
"2018"|"Hind Constr"|"49:100"|"1"|"9"|"05-09-18"|"22-11-18"|"20-11-18"
"2018"|"Shalimar Paints"|"3:2"|"2"|"63"|"23-05-18"|"09-11-18"|"06-11-18"
"2018"|"Max Ventures an"|"67:66"|"10"|"51"|"11-06-18"|"22-06-18"|"21-06-18"
"2018"|"Hatsun Agro"|"1:16"|"1"|"554"|"06-12-17"|"01-06-18"|"31-05-18"
"2018"|"Indiabulls Vent"|"3:16"|"2"|"238"|"21-09-17"|"12-02-18"|"09-02-18"
"2018"|"Elpro Int"|"9:40"|"1"|"31"|"25-07-17"|"09-02-18"|"08-02-18"
"2018"|"Tata Steel"|"4:25"|"10"|"500"|"19-12-17"|"01-02-18"|"31-01-18"
"2018"|"Piramal Enter"|"1:23"|"2"|"2378"|"12-10-17"|"01-02-18"|"31-01-18"
"2018"|"Tata Steel"|"2:25"|"10"|"605"|"20-12-17"|"01-02-18"|"31-01-18"
"2018"|"Scanpoint Geo"|"127:127"|"2"|"15"|"14-12-16"|"19-01-18"|"18-01-18"
"2019"|"Piramal Enter"|"11:83"|"2"|"1298"|"25-10-19"|"31-12-19"|"30-12-19"
"2019"|"Texmaco Rail"|"19:100"|"1"|"46"|"26-04-19"|"25-09-19"|"24-09-19"
"2019"|"Katwa Udyog"|"127:127"|"10"|"31"|"21-09-17"|"19-09-19"|"18-09-19"
"2019"|"Patel Eng"|"7:5"|"1"|"8"|"05-09-19"|"18-09-19"|"17-09-19"
"2019"|"Zuari Agro Chem"|"4:5"|"120"|"0"|"25-06-18"|"16-09-19"|"13-09-19"
"2019"|"Pacific Ind"|"127:100"|"10"|"109"|"27-02-19"|"26-07-19"|"25-07-19"
"2019"|"Tata Steel Long"|"15:7"|"10"|"490"|"24-10-18"|"25-06-19"|"24-06-19"
"2019"|"Reliance Chemo"|"1:1"|"10"|"55"|"28-06-18"|"20-06-19"|"19-06-19"
"2019"|"5paisa Capita"|"1:1"|"10"|"70"|"12-09-18"|"29-05-19"|"28-05-19"
"2019"|"Scanpoint Geo"|"62:127"|"2"|"21"|"14-02-19"|"15-05-19"|"14-05-19"
"2019"|"Ishan Dyes"|"46:100"|"10"|"17"|"20-03-18"|"10-05-19"|"09-05-19"
"2019"|"Bharti Airtel"|"19:67"|"5"|"215"|"28-02-19"|"24-04-19"|"23-04-19"
"2019"|"Bharat Gears"|"1:7"|"10"|"95"|"09-10-18"|"03-04-19"|"02-04-19"
"2019"|"Vodafone Idea"|"87:38"|"10"|"3"|"23-01-19"|"02-04-19"|"29-03-19"
"2019"|"Genus Prime Inf"|"2:33"|"2"|"1"|"16-07-18"|"28-03-19"|"27-03-19"
"2019"|"Krebs Biochem"|"21:100"|"10"|"76"|"30-07-18"|"01-02-19"|"31-01-19"
"2019"|"LGB Forge"|"127:127"|"1"|"2"|"10-04-18"|"04-01-19"|"03-01-19"
"2020"|"EIH"|"8:85"|"2"|"63"|"07-09-20"|"23-09-20"|"22-09-20"
"2020"|"Deepak Fert"|"3:20"|"10"|"123"|"25-05-20"|"17-09-20"|"16-09-20"
"2020"|"Rushil Decor"|"1:3"|"10"|"40"|"11-11-19"|"11-09-20"|"10-09-20"
"2020"|"Minda Ind"|"1:27"|"2"|"248"|"29-06-20"|"17-08-20"|"14-08-20"
"2020"|"Satin Credit"|"48:125"|"10"|"50"|"22-06-20"|"05-08-20"|"04-08-20"
"2020"|"SRL"|"2:15"|"5"|"70"|"11-02-20"|"29-07-20"|"28-07-20"
"2020"|"Gateway Distri"|"4:27"|"10"|"62"|"10-06-20"|"24-07-20"|"23-07-20"
"2020"|"M&M Financial"|"1:1"|"2"|"48"|"01-06-20"|"23-07-20"|"22-07-20"
"2020"|"Shriram Trans"|"3:26"|"10"|"560"|"15-06-20"|"10-07-20"|"09-07-20"
"2020"|"PVR"|"7:94"|"10"|"774"|"08-06-20"|"10-07-20"|"09-07-20"
"2020"|"Aditya Birla F"|"9:77"|"10"|"100"|"27-05-20"|"01-07-20"|"30-06-20"
"2020"|"Refex Ind"|"5:14"|"10"|"35"|"14-02-19"|"17-06-20"|"16-06-20"
"2020"|"Reliance"|"1:15"|"10"|"1247"|"30-04-20"|"14-05-20"|"13-05-20"
"2020"|"AFL"|"62:91"|"4"|"96"|"17-12-19"|"18-03-20"|"17-03-20"
"2020"|"Arrow Greentech"|"1:5"|"10"|"26"|"07-09-19"|"13-02-20"|"12-02-20"
"2020"|"Brooks Labs"|"9:20"|"10"|"10"|"11-06-19"|"12-02-20"|"11-02-20"
"2020"|"Bajaj Electric"|"13:118"|"2"|"308"|"06-01-20"|"06-02-20"|"05-02-20"
