"Year"|"Company"|"Old FV"|"New FV"|"Split Date"
"2007"|"West Coast Pap"|"10"|"2"|"26-10-2007"
"2007"|"Sri Adhikari"|"2"|"10"|"25-10-2007"
"2007"|"Birla Precision"|"10"|"2"|"24-10-2007"
"2007"|"Faze Three Exp"|"2"|"10"|"24-10-2007"
"2007"|"ICSA"|"10"|"2"|"23-10-2007"
"2007"|"BL Kashyap"|"10"|"5"|"22-10-2007"
"2007"|"Asian Electroni"|"10"|"5"|"22-10-2007"
"2007"|"Advani Hotels"|"10"|"2"|"22-10-2007"
"2007"|"Lloyds Metals"|"10"|"2"|"19-10-2007"
"2007"|"Peninsula Land"|"10"|"2"|"16-10-2007"
"2007"|"Arshiya"|"10"|"2"|"12-10-2007"
"2007"|"Man Industries"|"10"|"5"|"09-10-2007"
"2007"|"Anant Raj"|"10"|"2"|"08-10-2007"
"2007"|"Compucom Soft"|"10"|"2"|"08-10-2007"
"2007"|"Jai Corp"|"10"|"1"|"05-10-2007"
"2007"|"GMR Infra"|"10"|"2"|"28-09-2007"
"2007"|"Shilpa"|"10"|"2"|"28-09-2007"
"2007"|"Batliboi"|"10"|"5"|"26-09-2007"
"2007"|"Amara Raja Batt"|"10"|"2"|"19-09-2007"
"2007"|"Electrosteel"|"10"|"1"|"17-09-2007"
"2007"|"Ahluwalia"|"10"|"2"|"14-09-2007"
"2007"|"Glenmark"|"2"|"1"|"10-09-2007"
"2007"|"Usha Martin"|"5"|"1"|"29-08-2007"
"2007"|"Hind Rectifiers"|"10"|"2"|"28-08-2007"
"2007"|"NIIT"|"10"|"2"|"24-08-2007"
"2007"|"Sanghvi Movers"|"10"|"2"|"23-08-2007"
"2007"|"Everest Kanto"|"10"|"2"|"21-08-2007"
"2007"|"Apollo Tyres"|"10"|"1"|"17-08-2007"
"2007"|"Matra Realty"|"10"|"5"|"17-08-2007"
"2007"|"Modison Metals"|"10"|"1"|"03-08-2007"
"2007"|"Divis Labs"|"10"|"2"|"03-08-2007"
"2007"|"Easun Reyrl"|"10"|"2"|"31-07-2007"
"2007"|"Sun TV Network"|"10"|"5"|"23-07-2007"
"2007"|"KS Oils"|"10"|"1"|"18-07-2007"
"2007"|"Satra Prop"|"10"|"2"|"09-07-2007"
"2007"|"Alchemist"|"1"|"10"|"05-07-2007"
"2007"|"Bharat Seats"|"10"|"2"|"28-06-2007"
"2007"|"ABB India"|"10"|"2"|"28-06-2007"
"2007"|"CORE Education"|"10"|"2"|"06-06-2007"
"2007"|"Huhtamaki PPL"|"10"|"2"|"25-05-2007"
"2007"|"Thomas Cook"|"10"|"1"|"14-05-2007"
