"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"India Nippon"|"Interim"|"45.00"|"12-12-2007"|"31-12-2007"|"28-12-2007"
"EngineersInd"|"Interim"|"40.00"|"06-12-2007"|"27-12-2007"|"26-12-2007"
"ONGC"|"Interim"|"180.00"|"26-11-2007"|"27-12-2007"|"26-12-2007"
"Parle Indus"|"Interim"|"15.00"|"12-12-2007"|"27-12-2007"|"26-12-2007"
"Sharon Bio Medi"|"Final"|"15.00"|"25-07-2007"|"-"|"26-12-2007"
"AGC Networks"|"Final"|"67.50"|"29-10-2007"|"-"|"26-12-2007"
"Fedders Elec"|"Final"|"10.00"|"29-11-2007"|"-"|"24-12-2007"
"Granules India"|"Final"|"12.50"|"29-11-2007"|"-"|"24-12-2007"
"Garware Marine"|"Final"|"5.00"|"06-11-2007"|"-"|"24-12-2007"
"Amtek Auto"|"Final"|"150.00"|"03-12-2007"|"-"|"20-12-2007"
"Metalyst Forgin"|"Final"|"20.00"|"03-12-2007"|"-"|"20-12-2007"
"Castex Tech"|"Final"|"50.00"|"06-12-2007"|"-"|"20-12-2007"
"Shri Lakshmi Co"|"Final"|"20.00"|"05-12-2007"|"-"|"20-12-2007"
"Aftek"|"Final"|"50.00"|"28-11-2007"|"-"|"19-12-2007"
"Bannariamman"|"Final"|"70.00"|"16-11-2007"|"-"|"19-12-2007"
"C & C Construct"|"Final"|"25.00"|"03-10-2007"|"-"|"19-12-2007"
"Centrum Capital"|"Final"|"10.00"|"30-11-2007"|"-"|"19-12-2007"
"Esab India"|"Interim"|"100.00"|"30-11-2007"|"21-12-2007"|"19-12-2007"
"GAIL"|"Interim"|"40.00"|"27-11-2007"|"22-12-2007"|"19-12-2007"
"Grindwell Norto"|"Interim"|"80.00"|"04-12-2007"|"20-12-2007"|"19-12-2007"
"Indsil Hydro"|"Final"|"15.00"|"18-10-2007"|"-"|"19-12-2007"
"VIP Clothing"|"Final"|"10.00"|"28-11-2007"|"-"|"19-12-2007"
"Ankur Drugs"|"Final"|"20.00"|"23-11-2007"|"-"|"19-12-2007"
"Shakti Pumps"|"Final"|"10.00"|"31-10-2007"|"-"|"19-12-2007"
"Ajmera Realty"|"Final"|"11.00"|"02-11-2007"|"-"|"19-12-2007"
"Shree Renuka"|"Final"|"20.00"|"30-11-2007"|"-"|"19-12-2007"
"Alchemist"|"Final"|"25.00"|"29-11-2007"|"-"|"19-12-2007"
"Arrow Greentech"|"Final"|"5.00"|"04-07-2007"|"-"|"18-12-2007"
"Electrosteel"|"Interim"|"100.00"|"03-12-2007"|"19-12-2007"|"18-12-2007"
"Shriram Trans"|"Interim"|"10.00"|"03-12-2007"|"18-12-2007"|"17-12-2007"
"MIC Electronics"|"Final"|"20.00"|"25-07-2007"|"-"|"14-12-2007"
"Petron Engg"|"Final"|"12.00"|"03-12-2007"|"-"|"14-12-2007"
"Triveni Engg"|"Final"|"10.00"|"15-11-2007"|"-"|"14-12-2007"
"Indoco Remedies"|"Final"|"65.00"|"22-10-2007"|"-"|"13-12-2007"
"Nestle"|"Interim"|"240.00"|"26-11-2007"|"14-12-2007"|"13-12-2007"
"Rishabh Digha"|"Interim"|"10.00"|"29-11-2007"|"15-12-2007"|"13-12-2007"
"Mayur Leather"|"Interim"|"8.00"|"26-11-2007"|"12-12-2007"|"11-12-2007"
"Super Tannery"|"Final"|"10.00"|"03-07-2007"|"-"|"10-12-2007"
"FIEM Ind"|"Final"|"25.00"|"30-10-2007"|"-"|"07-12-2007"
"Khoday India"|"Final"|"10.00"|"01-11-2007"|"-"|"07-12-2007"
"Usher Agro"|"Final"|"5.00"|"19-11-2007"|"-"|"07-12-2007"
"ADF Foods"|"Interim"|"10.00"|"22-11-2007"|"08-12-2007"|"06-12-2007"
"Oricon Ent"|"Final"|"10.00"|"04-10-2007"|"-"|"06-12-2007"
"Shriram City"|"Interim"|"10.00"|"22-11-2007"|"07-12-2007"|"06-12-2007"
"Steel Exchange"|"Final"|"10.00"|"03-07-2007"|"-"|"06-12-2007"
"Sakthi Sugars"|"Final"|"15.00"|"27-09-2007"|"-"|"06-12-2007"
"Assam Petrochem"|"Final"|"10.00"|"31-07-2007"|"-"|"05-12-2007"
"Swasti Vinayaka"|"Interim"|"5.00"|"15-11-2007"|"05-12-2007"|"04-12-2007"
"Nitco"|"Final"|"20.00"|"25-10-2007"|"-"|"03-12-2007"
"HCL Tech"|"Final"|"100.00"|"13-08-2007"|"-"|"30-11-2007"
"Colgate"|"Interim"|"600.00"|"05-11-2007"|"06-12-2007"|"29-11-2007"
"JK Paper"|"Final"|"22.50"|"29-10-2007"|"-"|"29-11-2007"
"Crazy Infotech"|"Interim"|"5.00"|"06-11-2007"|"29-11-2007"|"28-11-2007"
"Deepak Spinners"|"Final"|"5.00"|"07-11-2007"|"-"|"27-11-2007"
"Mahalaxmi Sm"|"Interim"|"5.00"|"06-11-2007"|"28-11-2007"|"27-11-2007"
"Prime Sec"|"Interim"|"30.00"|"05-11-2007"|"23-11-2007"|"22-11-2007"
"UB Holdings"|"Final"|"10.00"|"30-10-2007"|"-"|"22-11-2007"
"Ballarpur Ind"|"Final"|"15.00"|"29-08-2007"|"-"|"21-11-2007"
"SBandT Intl"|"Final"|"5.00"|"30-10-2007"|"-"|"21-11-2007"
"Lakshmi Machine"|"Interim"|"200.00"|"29-10-2007"|"21-11-2007"|"20-11-2007"
"United Spirits"|"Final"|"10.00"|"01-11-2007"|"-"|"20-11-2007"
"Anjani Synth"|"Interim"|"5.00"|"24-10-2007"|"20-11-2007"|"19-11-2007"
"Greenply Ind"|"Interim"|"30.00"|"23-10-2007"|"20-11-2007"|"19-11-2007"
"Greaves Cotton"|"Interim"|"20.00"|"05-11-2007"|"19-11-2007"|"16-11-2007"
"Manugraph Ind"|"Interim"|"100.00"|"02-11-2007"|"19-11-2007"|"16-11-2007"
"Patels Airtemp"|"Interim"|"5.00"|"31-10-2007"|"19-11-2007"|"16-11-2007"
"TV 18"|"Interim"|"25.00"|"02-11-2007"|"19-11-2007"|"16-11-2007"
"Dollex Ind"|"Interim"|"5.00"|"01-11-2007"|"16-11-2007"|"15-11-2007"
"Elgi Equipments"|"Interim"|"60.00"|"01-11-2007"|"16-11-2007"|"15-11-2007"
"GMM Pfaudler"|"Interim"|"35.00"|"31-10-2007"|"16-11-2007"|"15-11-2007"
"Garware Technic"|"Final"|"25.00"|"04-05-2007"|"-"|"15-11-2007"
"ISMT"|"Final"|"10.00"|"30-10-2007"|"-"|"15-11-2007"
"ISMT"|"Interim"|"10.00"|"31-10-2007"|"-"|"15-11-2007"
"JagranPrakashan"|"Interim"|"50.00"|"29-10-2007"|"16-11-2007"|"15-11-2007"
"Kilitch Drugs"|"Interim"|"10.00"|"01-11-2007"|"16-11-2007"|"15-11-2007"
"Nile"|"Interim"|"20.00"|"29-10-2007"|"16-11-2007"|"15-11-2007"
"Sagar Cement"|"Interim"|"15.00"|"01-11-2007"|"17-11-2007"|"15-11-2007"
"63 Moons Tech"|"Interim"|"350.00"|"01-11-2007"|"16-11-2007"|"15-11-2007"
"Monsanto India"|"Interim"|"120.00"|"30-10-2007"|"15-11-2007"|"14-11-2007"
"Alfa Laval"|"Interim"|"100.00"|"25-10-2007"|"14-11-2007"|"13-11-2007"
"Natco Pharma"|"Interim"|"12.50"|"26-10-2007"|"13-11-2007"|"12-11-2007"
"Tamil Newsprint"|"Interim"|"20.00"|"29-10-2007"|"13-11-2007"|"12-11-2007"
"Hind Zinc"|"Interim"|"25.00"|"22-10-2007"|"12-11-2007"|"08-11-2007"
"KSB Pumps"|"Interim"|"20.00"|"29-10-2007"|"12-11-2007"|"08-11-2007"
"Atlas Cycles"|"Final"|"45.00"|"28-09-2007"|"-"|"07-11-2007"
"Apar Ind"|"Interim"|"15.00"|"19-10-2007"|"08-11-2007"|"07-11-2007"
