"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Ingersoll Rand"|"Interim"|"250.00"|"17-12-2019"|"31-12-2019"|"30-12-2019"
"ABans Enterpris"|"Interim"|"1.00"|"29-11-2019"|"27-12-2019"|"26-12-2019"
"Cholamandalam"|"Interim"|"50.00"|"12-12-2019"|"24-12-2019"|"23-12-2019"
"R Systems Intl"|"Interim"|"150.00"|"05-12-2019"|"23-12-2019"|"20-12-2019"
"Bharti Infratel"|"Interim"|"27.50"|"10-12-2019"|"20-12-2019"|"19-12-2019"
"Borosil"|"Final"|"65.00"|"13-05-2019"|"-"|"18-12-2019"
"Evans Electric"|"Final"|"10.00"|"02-12-2019"|"11-12-2019"|"10-12-2019"
"Evans Electric"|"Interim"|"10.00"|"02-12-2019"|"11-12-2019"|"10-12-2019"
"Nestle"|"Interim"|"550.00"|"22-11-2019"|"11-12-2019"|"10-12-2019"
"Bharat Road Net"|"Final"|"5.00"|"28-05-2019"|"07-12-2019"|"05-12-2019"
"Heidelberg Cem"|"Interim"|"15.00"|"25-11-2019"|"06-12-2019"|"05-12-2019"
"Redington"|"Interim"|"75.00"|"21-11-2019"|"04-12-2019"|"03-12-2019"
"Jamna Auto"|"Interim"|"18.00"|"14-11-2019"|"29-11-2019"|"28-11-2019"
"Worth Periphera"|"Interim"|"10.00"|"13-11-2019"|"29-11-2019"|"28-11-2019"
"Career Point"|"Interim"|"10.00"|"13-11-2019"|"26-11-2019"|"25-11-2019"
"Indag Rubber"|"Interim"|"45.00"|"11-11-2019"|"26-11-2019"|"25-11-2019"
"Meera Industrie"|"Interim"|"10.00"|"13-11-2019"|"26-11-2019"|"25-11-2019"
"Rain Industries"|"Interim"|"50.00"|"13-11-2019"|"26-11-2019"|"25-11-2019"
"Savera Ind"|"Interim"|"12.00"|"01-11-2019"|"26-11-2019"|"25-11-2019"
"CL Educate"|"Interim"|"10.00"|"06-11-2019"|"25-11-2019"|"22-11-2019"
"Fermenta Bio"|"Interim"|"100.00"|"14-11-2019"|"25-11-2019"|"22-11-2019"
"RACL Geartech"|"Interim"|"10.00"|"11-11-2019"|"25-11-2019"|"22-11-2019"
"Saksoft"|"Interim"|"20.00"|"13-11-2019"|"25-11-2019"|"22-11-2019"
"Saurashtra Cem"|"Interim"|"7.50"|"14-11-2019"|"25-11-2019"|"22-11-2019"
"Atul Auto"|"Interim"|"30.00"|"11-11-2019"|"22-11-2019"|"21-11-2019"
"Aurobindo Pharm"|"Interim"|"125.00"|"13-11-2019"|"23-11-2019"|"21-11-2019"
"Amara Raja Batt"|"Interim"|"600.00"|"11-11-2019"|"22-11-2019"|"21-11-2019"
"Balrampur Chini"|"Interim"|"250.00"|"11-11-2019"|"22-11-2019"|"21-11-2019"
"Balkrishna Ind"|"Interim"|"100.00"|"14-11-2019"|"22-11-2019"|"21-11-2019"
"Cupid"|"Interim"|"10.00"|"11-11-2019"|"22-11-2019"|"21-11-2019"
"CRISIL"|"Interim"|"700.00"|"31-10-2019"|"22-11-2019"|"21-11-2019"
"Cochin Shipyard"|"Interim"|"16.30"|"13-11-2019"|"22-11-2019"|"21-11-2019"
"Global Educatio"|"Interim"|"25.00"|"13-11-2019"|"23-11-2019"|"21-11-2019"
"Hinduja Global"|"Interim"|"25.00"|"04-11-2019"|"22-11-2019"|"21-11-2019"
"IDFC"|"Interim"|"6.50"|"08-11-2019"|"22-11-2019"|"21-11-2019"
"Info Edge"|"Interim"|"25.00"|"07-11-2019"|"22-11-2019"|"21-11-2019"
"MAS Financial S"|"Interim"|"20.00"|"06-11-2019"|"22-11-2019"|"21-11-2019"
"MRF"|"Interim"|"30.00"|"08-11-2019"|"22-11-2019"|"21-11-2019"
"Mayur Uniquoter"|"Interim"|"20.00"|"04-11-2019"|"22-11-2019"|"21-11-2019"
"Natco Pharma"|"Interim"|"50.00"|"13-11-2019"|"22-11-2019"|"21-11-2019"
"Polyplex Corp"|"Interim"|"110.00"|"01-11-2019"|"22-11-2019"|"21-11-2019"
"Page Industries"|"Interim"|"520.00"|"23-10-2019"|"22-11-2019"|"21-11-2019"
"Precision Wires"|"Interim"|"30.00"|"13-11-2019"|"22-11-2019"|"21-11-2019"
"Radhey Trade"|"Interim"|"1.50"|"11-11-2019"|"22-11-2019"|"21-11-2019"
"Symphony"|"Interim"|"100.00"|"04-11-2019"|"22-11-2019"|"21-11-2019"
"Sasken Tech"|"Interim"|"50.00"|"07-11-2019"|"22-11-2019"|"21-11-2019"
"Responsive Ind"|"Interim"|"3.00"|"07-10-2019"|"22-11-2019"|"21-11-2019"
"Sandur Manganes"|"Interim"|"20.00"|"11-11-2019"|"22-11-2019"|"21-11-2019"
"Salasar Techno"|"Interim"|"10.00"|"04-11-2019"|"22-11-2019"|"21-11-2019"
"Sun TV Network"|"Interim"|"50.00"|"11-11-2019"|"22-11-2019"|"21-11-2019"
"Thyrocare Techn"|"Interim"|"50.00"|"07-11-2019"|"22-11-2019"|"21-11-2019"
"Tide Water Oil"|"Interim"|"1000.00"|"04-11-2019"|"22-11-2019"|"21-11-2019"
"Vidhi Spec"|"Interim"|"20.00"|"05-11-2019"|"22-11-2019"|"21-11-2019"
"VRL Logistics"|"Interim"|"40.00"|"11-11-2019"|"22-11-2019"|"21-11-2019"
"ADF Foods"|"Interim"|"15.00"|"31-10-2019"|"21-11-2019"|"20-11-2019"
"Bharat Forge"|"Interim"|"75.00"|"08-11-2019"|"21-11-2019"|"20-11-2019"
"Conart Engineer"|"Interim"|"10.00"|"08-11-2019"|"21-11-2019"|"20-11-2019"
"Dr Lal PathLab"|"Interim"|"60.00"|"08-11-2019"|"21-11-2019"|"20-11-2019"
"Ingersoll Rand"|"Interim"|"30.00"|"05-11-2019"|"21-11-2019"|"20-11-2019"
"Indian Toners"|"Interim"|"30.00"|"08-11-2019"|"21-11-2019"|"20-11-2019"
"Manaksia"|"Interim"|"150.00"|"04-11-2019"|"21-11-2019"|"20-11-2019"
"Navneet"|"Interim"|"125.00"|"13-11-2019"|"21-11-2019"|"20-11-2019"
"Nilkamal"|"Interim"|"50.00"|"07-11-2019"|"21-11-2019"|"20-11-2019"
"Valiant Organic"|"Interim"|"50.00"|"08-11-2019"|"21-11-2019"|"20-11-2019"
"Amber Enterpris"|"Interim"|"16.00"|"07-11-2019"|"20-11-2019"|"19-11-2019"
"CARE Ratings"|"Interim"|"80.00"|"04-11-2019"|"20-11-2019"|"19-11-2019"
"EPL"|"Interim"|"62.50"|"31-10-2019"|"20-11-2019"|"19-11-2019"
"Indostar Capita"|"Interim"|"10.00"|"07-11-2019"|"20-11-2019"|"19-11-2019"
"Manappuram Fin"|"Interim"|"27.50"|"06-11-2019"|"20-11-2019"|"19-11-2019"
"P and G"|"Final"|"480.00"|"21-08-2019"|"-"|"19-11-2019"
"Exide Ind"|"Interim"|"160.00"|"06-11-2019"|"19-11-2019"|"18-11-2019"
"Indiabulls Hsg"|"Interim"|"350.00"|"06-11-2019"|"19-11-2019"|"18-11-2019"
"Gillette India"|"Final"|"250.00"|"22-08-2019"|"-"|"18-11-2019"
"Amrutanjan Heal"|"Interim"|"55.00"|"25-10-2019"|"18-11-2019"|"15-11-2019"
"Ajanta Pharma"|"Interim"|"650.00"|"22-10-2019"|"18-11-2019"|"15-11-2019"
"Gabriel India"|"Interim"|"45.00"|"31-10-2019"|"18-11-2019"|"15-11-2019"
"GMM Pfaudler"|"Interim"|"50.00"|"16-10-2019"|"18-11-2019"|"15-11-2019"
"Emami"|"Interim"|"200.00"|"01-11-2019"|"15-11-2019"|"14-11-2019"
"Godrej Consumer"|"Interim"|"200.00"|"04-10-2019"|"15-11-2019"|"14-11-2019"
"Nicco Parks"|"Interim"|"20.00"|"31-10-2019"|"15-11-2019"|"14-11-2019"
"Sundram"|"Interim"|"135.00"|"04-11-2019"|"15-11-2019"|"14-11-2019"
