"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Assam Petrochem"|"Final"|"10.00"|"18-12-2013"|"-"|"24-12-2013"
"Bambino Agro"|"Final"|"15.00"|"13-11-2013"|"-"|"19-12-2013"
"Caplin Labs"|"Final"|"25.00"|"16-08-2013"|"-"|"19-12-2013"
"Empee Distiller"|"Final"|"10.00"|"11-11-2013"|"-"|"19-12-2013"
"Strides Pharma"|"Special"|"5000.00"|"10-12-2013"|"20-12-2013"|"19-12-2013"
"Alok Industries"|"Final"|"3.00"|"25-11-2013"|"-"|"18-12-2013"
"HCL Tech"|"Final"|"300.00"|"31-07-2013"|"-"|"18-12-2013"
"Videocon Ind"|"Final"|"20.00"|"02-12-2013"|"-"|"12-12-2013"
"ONGC"|"Interim"|"100.00"|"14-11-2013"|"11-12-2013"|"10-12-2013"
"Colgate"|"Interim"|"900.00"|"11-11-2013"|"10-12-2013"|"09-12-2013"
"Visagar Polytex"|"Final"|"10.00"|"29-08-2013"|"-"|"06-12-2013"
"Indsil Hydro"|"Final"|"5.00"|"26-08-2013"|"-"|"06-12-2013"
"Wyeth"|"Interim"|"1450.00"|"25-11-2013"|"06-12-2013"|"05-12-2013"
"Pfizer"|"Interim"|"3600.00"|"25-11-2013"|"06-12-2013"|"05-12-2013"
"Symphony"|"Final"|"325.00"|"05-08-2013"|"-"|"05-12-2013"
"63 Moons Tech"|"Interim"|"100.00"|"22-11-2013"|"06-12-2013"|"05-12-2013"
"RRIL"|"Interim"|"1.00"|"12-11-2013"|"05-12-2013"|"04-12-2013"
"Fedders Elec"|"Final"|"10.00"|"30-10-2013"|"-"|"04-12-2013"
"Sharon Bio Medi"|"Final"|"15.00"|"14-11-2013"|"-"|"03-12-2013"
"Gabriel India"|"Interim"|"35.00"|"13-11-2013"|"29-11-2013"|"28-11-2013"
"Kridhan Infra"|"Interim"|"5.00"|"14-11-2013"|"29-11-2013"|"28-11-2013"
"AksharChem"|"Interim"|"25.00"|"12-11-2013"|"28-11-2013"|"27-11-2013"
"Rain Industries"|"Interim"|"50.00"|"14-11-2013"|"28-11-2013"|"27-11-2013"
"Ballarpur Ind"|"Final"|"15.00"|"29-08-2013"|"-"|"26-11-2013"
"CARE Ratings"|"Interim"|"60.00"|"12-11-2013"|"27-11-2013"|"26-11-2013"
"MPS"|"Interim"|"50.00"|"13-11-2013"|"27-11-2013"|"26-11-2013"
"DCM"|"Interim"|"15.00"|"13-11-2013"|"26-11-2013"|"25-11-2013"
"Manappuram Fin"|"Interim"|"22.50"|"13-11-2013"|"26-11-2013"|"25-11-2013"
"GMM Pfaudler"|"Interim"|"35.00"|"08-11-2013"|"22-11-2013"|"21-11-2013"
"Hinduja Global"|"Interim"|"50.00"|"12-11-2013"|"23-11-2013"|"21-11-2013"
"MCX India"|"Interim"|"70.00"|"11-11-2013"|"22-11-2013"|"21-11-2013"
"MT Educare"|"Interim"|"10.00"|"23-10-2013"|"22-11-2013"|"21-11-2013"
"Max Financial"|"Interim"|"90.00"|"08-11-2013"|"22-11-2013"|"21-11-2013"
"Oriental Carbon"|"Interim"|"20.00"|"11-11-2013"|"22-11-2013"|"21-11-2013"
"P and G"|"Final"|"250.00"|"14-08-2013"|"-"|"21-11-2013"
"Page Industries"|"Interim"|"150.00"|"25-10-2013"|"22-11-2013"|"21-11-2013"
"Voith Paper Fab"|"Final"|"30.00"|"31-10-2013"|"-"|"21-11-2013"
"Take Solutions"|"Interim"|"30.00"|"08-11-2013"|"22-11-2013"|"21-11-2013"
"Vidhi Spec"|"Interim"|"20.00"|"12-11-2013"|"23-11-2013"|"21-11-2013"
"Timken"|"Interim"|"65.00"|"08-11-2013"|"21-11-2013"|"20-11-2013"
"Aarti Drugs"|"Interim"|"30.00"|"01-11-2013"|"20-11-2013"|"19-11-2013"
"Aarti Ind"|"Interim"|"35.00"|"05-11-2013"|"20-11-2013"|"19-11-2013"
"Aurobindo Pharm"|"Interim"|"125.00"|"08-11-2013"|"20-11-2013"|"19-11-2013"
"Ingersoll Rand"|"Interim"|"30.00"|"07-11-2013"|"20-11-2013"|"19-11-2013"
"Mayur Uniquoter"|"Interim"|"25.00"|"29-10-2013"|"20-11-2013"|"19-11-2013"
"Sun TV Network"|"Interim"|"50.00"|"07-11-2013"|"20-11-2013"|"19-11-2013"
"Tara Jewels"|"Interim"|"10.00"|"05-11-2013"|"20-11-2013"|"19-11-2013"
"Godrej Consumer"|"Interim"|"100.00"|"22-10-2013"|"19-11-2013"|"18-11-2013"
"Triveni Turbine"|"Interim"|"20.00"|"06-11-2013"|"19-11-2013"|"18-11-2013"
"Sonata"|"Interim"|"100.00"|"30-10-2013"|"18-11-2013"|"14-11-2013"
"APM Industries"|"Interim"|"50.00"|"21-10-2013"|"15-11-2013"|"13-11-2013"
"Astral Poly Tec"|"Interim"|"12.50"|"01-11-2013"|"15-11-2013"|"13-11-2013"
"Pyxis Finvest"|"Interim"|"2.50"|"05-11-2013"|"15-11-2013"|"13-11-2013"
"CG Power"|"Interim"|"20.00"|"28-10-2013"|"15-11-2013"|"13-11-2013"
"HB Estate Dev"|"Final"|"5.00"|"30-05-2013"|"-"|"13-11-2013"
"JagranPrakashan"|"Interim"|"50.00"|"31-10-2013"|"15-11-2013"|"13-11-2013"
"LG Balakrishnan"|"Interim"|"50.00"|"31-10-2013"|"15-11-2013"|"13-11-2013"
"Solar Ind"|"Interim"|"50.00"|"28-10-2013"|"15-11-2013"|"13-11-2013"
"Shriram Trans"|"Interim"|"30.00"|"29-10-2013"|"15-11-2013"|"13-11-2013"
"Aegis Logistics"|"Interim"|"25.00"|"30-10-2013"|"13-11-2013"|"12-11-2013"
"Sundram"|"Interim"|"70.00"|"01-11-2013"|"14-11-2013"|"12-11-2013"
"ASM Tech"|"Interim"|"10.00"|"28-10-2013"|"12-11-2013"|"11-11-2013"
"Atul Auto"|"Interim"|"40.00"|"28-10-2013"|"11-11-2013"|"08-11-2013"
"Monsanto India"|"Interim"|"120.00"|"24-10-2013"|"11-11-2013"|"08-11-2013"
"Digispice Tech"|"Interim"|"5.00"|"30-10-2013"|"11-11-2013"|"08-11-2013"
"Rolta"|"Final"|"30.00"|"29-08-2013"|"-"|"08-11-2013"
"Indag Rubber"|"Interim"|"35.00"|"29-10-2013"|"08-11-2013"|"07-11-2013"
"Kolte-Patil"|"Interim"|"15.00"|"28-10-2013"|"08-11-2013"|"07-11-2013"
"KSB Pumps"|"Interim"|"10.00"|"28-10-2013"|"08-11-2013"|"07-11-2013"
"NMDC"|"Interim"|"300.00"|"24-10-2013"|"08-11-2013"|"07-11-2013"
"Navin Fluorine"|"Interim"|"75.00"|"23-10-2013"|"08-11-2013"|"07-11-2013"
"Precision Wires"|"Interim"|"40.00"|"28-10-2013"|"08-11-2013"|"07-11-2013"
"Sasken Tech"|"Interim"|"50.00"|"28-10-2013"|"08-11-2013"|"07-11-2013"
"Shriram City"|"Interim"|"40.00"|"28-10-2013"|"08-11-2013"|"07-11-2013"
"SRF"|"Interim"|"30.00"|"28-10-2013"|"08-11-2013"|"07-11-2013"
"Wockhardt"|"Interim"|"100.00"|"25-10-2013"|"08-11-2013"|"07-11-2013"
"Bharat Agri"|"Interim"|"10.00"|"24-10-2013"|"07-11-2013"|"06-11-2013"
"Colgate"|"Interim"|"900.00"|"24-09-2013"|"07-11-2013"|"06-11-2013"
"Vedanta"|"Interim"|"150.00"|"28-10-2013"|"07-11-2013"|"06-11-2013"
"Dabur India"|"Interim"|"75.00"|"14-10-2013"|"06-11-2013"|"05-11-2013"
"Exide Ind"|"Interim"|"110.00"|"23-10-2013"|"06-11-2013"|"05-11-2013"
"Mastek"|"Interim"|"35.00"|"11-10-2013"|"06-11-2013"|"05-11-2013"
"Muthoot Finance"|"Interim"|"30.00"|"22-10-2013"|"06-11-2013"|"05-11-2013"
"MRF"|"Interim"|"30.00"|"24-10-2013"|"06-11-2013"|"05-11-2013"
