"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Bannariamman"|"Final"|"75.00"|"24-11-2016"|"-"|"21-12-2016"
"JVL Agro Ind"|"Final"|"10.00"|"19-09-2016"|"-"|"21-12-2016"
"Brightcom Group"|"Final"|"5.00"|"30-05-2016"|"-"|"19-12-2016"
"Colgate"|"Interim"|"300.00"|"16-11-2016"|"16-12-2016"|"15-12-2016"
"Jindal Saw"|"Final"|"50.00"|"31-05-2016"|"-"|"14-12-2016"
"Nestle"|"Interim"|"160.00"|"25-11-2016"|"13-12-2016"|"09-12-2016"
"Shantai Industr"|"Interim"|"10.00"|"29-11-2016"|"09-12-2016"|"08-12-2016"
"Balkrishna Ind"|"Interim"|"100.00"|"18-11-2016"|"08-12-2016"|"07-12-2016"
"Tide Water Oil"|"Interim"|"1000.00"|"25-11-2016"|"07-12-2016"|"06-12-2016"
"Captain Poly"|"Interim"|"2.00"|"15-11-2016"|"02-12-2016"|"01-12-2016"
"Ingersoll Rand"|"Interim"|"30.00"|"21-11-2016"|"02-12-2016"|"01-12-2016"
"IGL"|"Interim"|"35.00"|"17-11-2016"|"30-11-2016"|"29-11-2016"
"Aurobindo Pharm"|"Interim"|"125.00"|"15-11-2016"|"25-11-2016"|"24-11-2016"
"Astral Poly Tec"|"Interim"|"20.00"|"08-11-2016"|"25-11-2016"|"24-11-2016"
"Kushal"|"Interim"|"30.00"|"15-11-2016"|"25-11-2016"|"24-11-2016"
"P and G"|"Final"|"360.00"|"26-08-2016"|"-"|"24-11-2016"
"Precision Wires"|"Interim"|"25.00"|"09-11-2016"|"25-11-2016"|"24-11-2016"
"Sandur Manganes"|"Interim"|"20.00"|"15-11-2016"|"26-11-2016"|"24-11-2016"
"Vidhi Spec"|"Interim"|"20.00"|"15-11-2016"|"26-11-2016"|"24-11-2016"
"Atul Auto"|"Interim"|"55.00"|"15-11-2016"|"24-11-2016"|"23-11-2016"
"Vipul"|"Interim"|"1.00"|"15-11-2016"|"24-11-2016"|"23-11-2016"
"Alkem Lab"|"Interim"|"300.00"|"11-11-2016"|"24-11-2016"|"23-11-2016"
"BLS Internation"|"Interim"|"5.00"|"15-11-2016"|"24-11-2016"|"23-11-2016"
"DCM Shriram Ind"|"Interim"|"35.00"|"09-11-2016"|"24-11-2016"|"23-11-2016"
"Polyplex Corp"|"Interim"|"30.00"|"15-11-2016"|"24-11-2016"|"23-11-2016"
"Hinduja Global"|"Interim"|"25.00"|"10-11-2016"|"23-11-2016"|"22-11-2016"
"Gillette India"|"Final"|"200.00"|"23-08-2016"|"-"|"22-11-2016"
"Jamna Auto"|"Interim"|"30.00"|"10-11-2016"|"23-11-2016"|"22-11-2016"
"Manappuram Fin"|"Interim"|"25.00"|"10-11-2016"|"23-11-2016"|"22-11-2016"
"Gabriel India"|"Interim"|"45.00"|"03-11-2016"|"22-11-2016"|"21-11-2016"
"Hind Adhesives"|"Interim"|"10.00"|"15-11-2016"|"22-11-2016"|"21-11-2016"
"L&T Technology"|"Interim"|"150.00"|"27-10-2016"|"22-11-2016"|"21-11-2016"
"Maan Aluminium"|"Interim"|"10.00"|"04-11-2016"|"22-11-2016"|"21-11-2016"
"Mayur Uniquoter"|"Interim"|"5.00"|"15-11-2016"|"22-11-2016"|"21-11-2016"
"Amrutanjan Heal"|"Interim"|"55.00"|"07-11-2016"|"18-11-2016"|"17-11-2016"
"APM Industries"|"Interim"|"75.00"|"01-11-2016"|"19-11-2016"|"17-11-2016"
"CARE Ratings"|"Interim"|"60.00"|"04-11-2016"|"18-11-2016"|"17-11-2016"
"Gateway Distri"|"Interim"|"30.00"|"01-11-2016"|"19-11-2016"|"17-11-2016"
"Kitex Garments"|"Interim"|"75.00"|"01-11-2016"|"18-11-2016"|"17-11-2016"
"L&T Infotech"|"Interim"|"685.00"|"27-10-2016"|"18-11-2016"|"17-11-2016"
"Page Industries"|"Interim"|"250.00"|"20-10-2016"|"19-11-2016"|"17-11-2016"
"Sharda Crop"|"Interim"|"20.00"|"04-11-2016"|"18-11-2016"|"17-11-2016"
"Shriram Pistons"|"Interim"|"30.00"|"05-11-2016"|"18-11-2016"|"17-11-2016"
"Take Solutions"|"Interim"|"30.00"|"03-11-2016"|"19-11-2016"|"17-11-2016"
"Wockhardt"|"Interim"|"200.00"|"28-10-2016"|"19-11-2016"|"17-11-2016"
"Gujarat Pipavav"|"Interim"|"20.00"|"04-11-2016"|"17-11-2016"|"16-11-2016"
"Marico"|"Interim"|"150.00"|"04-11-2016"|"17-11-2016"|"16-11-2016"
"Oriental Carbon"|"Interim"|"30.00"|"04-11-2016"|"17-11-2016"|"16-11-2016"
"PI Industries"|"Interim"|"150.00"|"25-10-2016"|"17-11-2016"|"16-11-2016"
"Aegis Logistics"|"Interim"|"35.00"|"28-10-2016"|"16-11-2016"|"15-11-2016"
"Godrej Consumer"|"Interim"|"100.00"|"30-09-2016"|"16-11-2016"|"15-11-2016"
"Monsanto India"|"Interim"|"150.00"|"03-11-2016"|"16-11-2016"|"15-11-2016"
"Poly Medicure"|"Interim"|"20.00"|"28-10-2016"|"15-11-2016"|"11-11-2016"
"Gulshan Poly"|"Interim"|"40.00"|"27-10-2016"|"12-11-2016"|"10-11-2016"
"Indag Rubber"|"Interim"|"45.00"|"24-10-2016"|"11-11-2016"|"10-11-2016"
"Nilkamal"|"Interim"|"40.00"|"03-11-2016"|"12-11-2016"|"10-11-2016"
"PPAP Automotive"|"Interim"|"12.50"|"27-10-2016"|"11-11-2016"|"10-11-2016"
"Sundaram-Clayto"|"Interim"|"300.00"|"18-10-2016"|"11-11-2016"|"10-11-2016"
"Sundram"|"Interim"|"170.00"|"02-11-2016"|"12-11-2016"|"10-11-2016"
"Sterlite Techno"|"Interim"|"25.00"|"27-10-2016"|"11-11-2016"|"10-11-2016"
"Transport Corp"|"Interim"|"30.00"|"24-10-2016"|"12-11-2016"|"10-11-2016"
"Harita Seating"|"Interim"|"20.00"|"28-10-2016"|"10-11-2016"|"09-11-2016"
"Sonata"|"Interim"|"350.00"|"14-10-2016"|"10-11-2016"|"09-11-2016"
"Colgate"|"Interim"|"400.00"|"07-10-2016"|"09-11-2016"|"08-11-2016"
"Cupid"|"Interim"|"10.00"|"28-10-2016"|"09-11-2016"|"08-11-2016"
"DCM Shriram"|"Interim"|"110.00"|"27-10-2016"|"09-11-2016"|"08-11-2016"
"Kewal Kiran"|"Interim"|"90.00"|"27-10-2016"|"09-11-2016"|"08-11-2016"
"MRF"|"Interim"|"30.00"|"27-10-2016"|"09-11-2016"|"08-11-2016"
"Shriram City"|"Interim"|"50.00"|"27-10-2016"|"09-11-2016"|"08-11-2016"
"Ajanta Pharma"|"Interim"|"300.00"|"26-10-2016"|"08-11-2016"|"07-11-2016"
"Bigbloc Constru"|"Interim"|"2.50"|"25-10-2016"|"08-11-2016"|"07-11-2016"
"Vedanta"|"Interim"|"175.00"|"25-10-2016"|"08-11-2016"|"07-11-2016"
"Supreme Ind"|"Interim"|"150.00"|"24-10-2016"|"08-11-2016"|"07-11-2016"
"Hexaware Tech"|"Interim"|"50.00"|"25-10-2016"|"07-11-2016"|"04-11-2016"
"Hind Zinc"|"Interim"|"95.00"|"24-10-2016"|"07-11-2016"|"04-11-2016"
"Info Edge"|"Interim"|"15.00"|"19-10-2016"|"07-11-2016"|"04-11-2016"
"Navin Fluorine"|"Special"|"75.00"|"21-10-2016"|"07-11-2016"|"04-11-2016"
"Navin Fluorine"|"Interim"|"110.00"|"24-10-2016"|"07-11-2016"|"04-11-2016"
"Dabur India"|"Interim"|"125.00"|"27-09-2016"|"04-11-2016"|"03-11-2016"
"Exide Ind"|"Interim"|"160.00"|"26-10-2016"|"05-11-2016"|"03-11-2016"
"Foseco India"|"Interim"|"60.00"|"05-10-2016"|"04-11-2016"|"03-11-2016"
"Granules India"|"Interim"|"20.00"|"25-10-2016"|"05-11-2016"|"03-11-2016"
