"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Kushal"|"Interim"|"25.00"|"15-12-2017"|"26-12-2017"|"22-12-2017"
"CMI"|"Final"|"10.00"|"04-07-2017"|"-"|"21-12-2017"
"Mangalam Drugs"|"Interim"|"5.00"|"12-12-2017"|"22-12-2017"|"21-12-2017"
"Waterbase"|"Final"|"10.00"|"01-06-2017"|"23-12-2017"|"21-12-2017"
"Indo Amines"|"Final"|"10.00"|"05-12-2017"|"-"|"20-12-2017"
"Shiva Texyarn"|"Final"|"16.00"|"01-11-2017"|"-"|"19-12-2017"
"Colgate"|"Interim"|"400.00"|"04-12-2017"|"19-12-2017"|"18-12-2017"
"HDFC Life"|"Interim"|"13.60"|"04-12-2017"|"18-12-2017"|"15-12-2017"
"IFGL Refractory"|"Final"|"20.00"|"28-11-2017"|"-"|"14-12-2017"
"Fiberweb India"|"Interim"|"5.00"|"05-12-2017"|"15-12-2017"|"14-12-2017"
"Atul Auto"|"Interim"|"55.00"|"04-12-2017"|"14-12-2017"|"13-12-2017"
"GPT Infra"|"Interim"|"10.00"|"04-12-2017"|"14-12-2017"|"13-12-2017"
"Indsil Hydro"|"Final"|"8.00"|"13-11-2017"|"-"|"13-12-2017"
"Advani Hotels"|"Interim"|"25.00"|"30-11-2017"|"13-12-2017"|"12-12-2017"
"Nestle"|"Interim"|"330.00"|"24-11-2017"|"12-12-2017"|"11-12-2017"
"Surya Roshni"|"Final"|"15.00"|"01-06-2017"|"-"|"08-12-2017"
"Indian Toners"|"Interim"|"15.00"|"17-11-2017"|"08-12-2017"|"07-12-2017"
"Oriental Carbon"|"Interim"|"30.00"|"27-11-2017"|"08-12-2017"|"07-12-2017"
"RCI Industries"|"Interim"|"5.00"|"20-11-2017"|"08-12-2017"|"07-12-2017"
"Vidhi Spec"|"Interim"|"20.00"|"24-11-2017"|"08-12-2017"|"07-12-2017"
"20 Microns"|"Interim"|"8.00"|"22-11-2017"|"06-12-2017"|"05-12-2017"
"Monsanto India"|"Interim"|"150.00"|"23-11-2017"|"06-12-2017"|"05-12-2017"
"MM Forgings"|"Interim"|"50.00"|"23-11-2017"|"06-12-2017"|"05-12-2017"
"ConfidencePetro"|"Interim"|"5.00"|"27-11-2017"|"05-12-2017"|"04-12-2017"
"Siyaram Silk"|"Interim"|"110.00"|"21-11-2017"|"05-12-2017"|"04-12-2017"
"Vishal Bearing"|"Interim"|"5.00"|"27-11-2017"|"05-12-2017"|"04-12-2017"
"Mayur Uniquoter"|"Interim"|"5.00"|"17-11-2017"|"02-12-2017"|"29-11-2017"
"New India Assur"|"Interim"|"75.00"|"15-11-2017"|"01-12-2017"|"29-11-2017"
"CARE Ratings"|"Interim"|"60.00"|"15-11-2017"|"29-11-2017"|"28-11-2017"
"Sadbhav Infra"|"Interim"|"2.00"|"17-11-2017"|"29-11-2017"|"28-11-2017"
"Bhageria Indu"|"Final"|"100.00"|"12-05-2017"|"-"|"24-11-2017"
"Foseco India"|"Interim"|"70.00"|"12-10-2017"|"25-11-2017"|"23-11-2017"
"Gulshan Poly"|"Interim"|"40.00"|"14-11-2017"|"24-11-2017"|"23-11-2017"
"Indag Rubber"|"Interim"|"45.00"|"10-11-2017"|"24-11-2017"|"23-11-2017"
"Nile"|"Interim"|"30.00"|"13-11-2017"|"24-11-2017"|"23-11-2017"
"Polyplex Corp"|"Interim"|"50.00"|"14-11-2017"|"24-11-2017"|"23-11-2017"
"Salasar Techno"|"Interim"|"10.00"|"06-11-2017"|"24-11-2017"|"23-11-2017"
"Virat Crane"|"Interim"|"5.00"|"15-11-2017"|"25-11-2017"|"23-11-2017"
"Valiant Organic"|"Interim"|"25.00"|"13-11-2017"|"24-11-2017"|"23-11-2017"
"Kushal"|"Interim"|"10.00"|"13-11-2017"|"23-11-2017"|"22-11-2017"
"RKEC Projects"|"Interim"|"10.00"|"13-11-2017"|"23-11-2017"|"22-11-2017"
"Aurobindo Pharm"|"Interim"|"150.00"|"09-11-2017"|"22-11-2017"|"21-11-2017"
"Jamna Auto"|"Interim"|"30.00"|"13-11-2017"|"22-11-2017"|"21-11-2017"
"MRF"|"Interim"|"30.00"|"10-11-2017"|"22-11-2017"|"21-11-2017"
"Majestic Resear"|"Interim"|"5.00"|"09-11-2017"|"22-11-2017"|"21-11-2017"
"Astral Poly Tec"|"Interim"|"25.00"|"02-11-2017"|"21-11-2017"|"20-11-2017"
"Amara Raja Batt"|"Interim"|"200.00"|"09-11-2017"|"21-11-2017"|"20-11-2017"
"Dr Lal PathLab"|"Interim"|"15.00"|"09-11-2017"|"21-11-2017"|"20-11-2017"
"Granules India"|"Interim"|"25.00"|"09-11-2017"|"21-11-2017"|"20-11-2017"
"Sonata"|"Interim"|"375.00"|"30-10-2017"|"21-11-2017"|"20-11-2017"
"Triveni Turbine"|"Interim"|"45.00"|"08-11-2017"|"21-11-2017"|"20-11-2017"
"Tide Water Oil"|"Interim"|"1500.00"|"02-11-2017"|"21-11-2017"|"20-11-2017"
"Sequent Scienti"|"Interim"|"10.00"|"09-11-2017"|"21-11-2017"|"20-11-2017"
"Yash Chemex"|"Interim"|"3.50"|"09-11-2017"|"21-11-2017"|"20-11-2017"
"Cupid"|"Interim"|"20.00"|"09-11-2017"|"20-11-2017"|"17-11-2017"
"Hinduja Global"|"Interim"|"25.00"|"09-11-2017"|"20-11-2017"|"17-11-2017"
"Ingersoll Rand"|"Interim"|"30.00"|"08-11-2017"|"20-11-2017"|"17-11-2017"
"MAS Financial S"|"Interim"|"15.00"|"08-11-2017"|"20-11-2017"|"17-11-2017"
"Sun TV Network"|"Interim"|"50.00"|"08-11-2017"|"20-11-2017"|"17-11-2017"
"Take Solutions"|"Interim"|"30.00"|"08-11-2017"|"20-11-2017"|"17-11-2017"
"Ventura Guarant"|"Interim"|"27.00"|"06-11-2017"|"01-12-2017"|"17-11-2017"
"Amrutanjan Heal"|"Interim"|"55.00"|"01-11-2017"|"17-11-2017"|"16-11-2017"
"Bharat Forge"|"Interim"|"100.00"|"08-11-2017"|"18-11-2017"|"16-11-2017"
"Balkrishna Ind"|"Interim"|"125.00"|"31-10-2017"|"17-11-2017"|"16-11-2017"
"Bharat Road Net"|"Interim"|"5.00"|"08-11-2017"|"17-11-2017"|"16-11-2017"
"DCM Shriram"|"Interim"|"200.00"|"07-11-2017"|"17-11-2017"|"16-11-2017"
"Gateway Distri"|"Interim"|"30.00"|"01-11-2017"|"17-11-2017"|"16-11-2017"
"Gabriel India"|"Interim"|"50.00"|"01-11-2017"|"18-11-2017"|"16-11-2017"
"GMM Pfaudler"|"Interim"|"35.00"|"01-11-2017"|"17-11-2017"|"16-11-2017"
"Hester Bio"|"Interim"|"40.00"|"30-10-2017"|"17-11-2017"|"16-11-2017"
"Harita Seating"|"Interim"|"20.00"|"15-11-2017"|"17-11-2017"|"16-11-2017"
"Kitex Garments"|"Interim"|"75.00"|"06-11-2017"|"17-11-2017"|"16-11-2017"
"Menon Bearings"|"Interim"|"50.00"|"01-11-2017"|"17-11-2017"|"16-11-2017"
"Manappuram Fin"|"Interim"|"25.00"|"07-11-2017"|"17-11-2017"|"16-11-2017"
"Nilkamal"|"Interim"|"40.00"|"07-11-2017"|"18-11-2017"|"16-11-2017"
"Page Industries"|"Interim"|"350.00"|"18-10-2017"|"17-11-2017"|"16-11-2017"
"Ultracab India"|"Interim"|"1.00"|"09-11-2017"|"18-11-2017"|"16-11-2017"
"L&T Technology"|"Interim"|"200.00"|"23-10-2017"|"15-11-2017"|"14-11-2017"
"Shriram City"|"Interim"|"60.00"|"02-11-2017"|"15-11-2017"|"14-11-2017"
"Gujarat Pipavav"|"Interim"|"17.00"|"07-11-2017"|"14-11-2017"|"13-11-2017"
"L&T Infotech"|"Interim"|"800.00"|"13-10-2017"|"14-11-2017"|"13-11-2017"
"Sundram"|"Interim"|"190.00"|"02-11-2017"|"14-11-2017"|"13-11-2017"
