"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Hazoor"|"Final"|"10.00"|"24-11-2006"|"-"|"28-12-2006"
"Mayur Uniquoter"|"Interim"|"10.00"|"14-12-2006"|"29-12-2006"|"28-12-2006"
"Nicco Parks"|"Final"|"12.00"|"26-10-2006"|"-"|"28-12-2006"
"Ushdev Intl"|"Final"|"15.00"|"05-12-2006"|"-"|"28-12-2006"
"GAIL"|"Interim"|"55.00"|"07-12-2006"|"28-12-2006"|"27-12-2006"
"HPCL"|"Interim"|"60.00"|"12-12-2006"|"28-12-2006"|"27-12-2006"
"Karuturi Global"|"Interim"|"10.00"|"12-12-2006"|"28-12-2006"|"27-12-2006"
"ONGC"|"Interim"|"180.00"|"12-12-2006"|"28-12-2006"|"27-12-2006"
"Fedders Elec"|"Final"|"8.00"|"29-11-2006"|"-"|"26-12-2006"
"IOC"|"Interim"|"60.00"|"07-12-2006"|"27-12-2006"|"26-12-2006"
"Metalyst Forgin"|"Final"|"20.00"|"04-12-2006"|"-"|"22-12-2006"
"Castex Tech"|"Final"|"50.00"|"04-12-2006"|"-"|"22-12-2006"
"Balrampur Chini"|"Final"|"150.00"|"17-11-2006"|"-"|"22-12-2006"
"Gillanders Arbu"|"Final"|"22.50"|"19-12-2006"|"-"|"22-12-2006"
"Garware Marine"|"Final"|"5.00"|"28-11-2006"|"-"|"22-12-2006"
"Jindal Saw"|"Final"|"50.00"|"29-11-2006"|"-"|"22-12-2006"
"Siemens Health"|"Interim"|"970.00"|"06-12-2006"|"22-12-2006"|"21-12-2006"
"Granules India"|"Final"|"12.50"|"23-11-2006"|"-"|"21-12-2006"
"Anik Industries"|"Final"|"11.00"|"04-12-2006"|"-"|"21-12-2006"
"Pioneer"|"Final"|"15.00"|"05-12-2006"|"-"|"21-12-2006"
"Ruchi Soya"|"Final"|"22.00"|"01-12-2006"|"-"|"21-12-2006"
"Amtek Auto"|"Final"|"100.00"|"04-12-2006"|"-"|"20-12-2006"
"Peninsula Land"|"Final"|"25.00"|"31-07-2006"|"-"|"20-12-2006"
"Thiru Arooran"|"Final"|"18.00"|"04-12-2006"|"-"|"20-12-2006"
"Bank of India"|"Interim"|"20.00"|"04-12-2006"|"20-12-2006"|"19-12-2006"
"Centrum Capital"|"Final"|"10.00"|"18-09-2006"|"-"|"19-12-2006"
"Goa Carbon"|"Final"|"15.00"|"27-11-2006"|"-"|"19-12-2006"
"Zee Entertain"|"Final"|"100.00"|"23-11-2006"|"-"|"18-12-2006"
"Murli"|"Interim"|"20.00"|"21-11-2006"|"18-12-2006"|"15-12-2006"
"Murli"|"Final"|"20.00"|"27-11-2006"|"18-12-2006"|"15-12-2006"
"Shriram City"|"Interim"|"10.00"|"01-12-2006"|"16-12-2006"|"14-12-2006"
"Shree Renuka"|"Final"|"20.00"|"13-11-2006"|"-"|"14-12-2006"
"Guj Mineral"|"Final"|"60.00"|"30-10-2006"|"-"|"13-12-2006"
"Indsil Hydro"|"Final"|"10.00"|"26-10-2006"|"-"|"13-12-2006"
"Lakshmi Machine"|"Interim"|"150.00"|"30-11-2006"|"20-12-2006"|"13-12-2006"
"Shriram Trans"|"Interim"|"10.00"|"04-12-2006"|"-"|"13-12-2006"
"Asian Electroni"|"Final"|"25.00"|"31-05-2006"|"-"|"12-12-2006"
"Torrent Power"|"Final"|"12.00"|"28-11-2006"|"-"|"11-12-2006"
"Alphageo"|"Final"|"10.00"|"04-07-2006"|"-"|"08-12-2006"
"Jindal Drilling"|"Final"|"25.00"|"21-11-2006"|"-"|"08-12-2006"
"United Spirits"|"Final"|"20.00"|"09-11-2006"|"-"|"08-12-2006"
"Nestle"|"Interim"|"180.00"|"21-11-2006"|"11-12-2006"|"08-12-2006"
"Oricon Ent"|"Final"|"10.00"|"07-12-2006"|"-"|"08-12-2006"
"Patel Integrate"|"Final"|"5.00"|"27-10-2006"|"-"|"07-12-2006"
"Welspun Enter"|"Final"|"10.00"|"21-11-2006"|"-"|"06-12-2006"
"Syndicate Bank"|"Interim"|"15.00"|"21-11-2006"|"07-12-2006"|"06-12-2006"
"Sterlite Ind"|"Interim"|"200.00"|"16-11-2006"|"07-12-2006"|"06-12-2006"
"Sakthi Sugars"|"Final"|"15.00"|"30-10-2006"|"-"|"06-12-2006"
"Assam Petrochem"|"Final"|"10.00"|"28-06-2006"|"-"|"04-12-2006"
"HCL Tech"|"Final"|"200.00"|"21-08-2006"|"-"|"04-12-2006"
"Vedanta"|"Final"|"250.00"|"30-10-2006"|"-"|"04-12-2006"
"Garden Silk"|"Final"|"15.00"|"31-10-2006"|"-"|"01-12-2006"
"ICSA"|"Interim"|"12.00"|"08-11-2006"|"04-12-2006"|"01-12-2006"
"Setco Auto"|"Interim"|"10.00"|"28-11-2006"|"13-12-2006"|"30-11-2006"
"Sundram"|"Interim"|"85.00"|"13-11-2006"|"01-12-2006"|"30-11-2006"
"Zandu Realty"|"Final"|"5.00"|"17-11-2006"|"-"|"30-11-2006"
"AshirwadCapital"|"Interim"|"35.00"|"01-11-2006"|"30-11-2006"|"29-11-2006"
"Ballarpur Ind"|"Final"|"15.00"|"22-08-2006"|"-"|"29-11-2006"
"NCL Industries"|"Final"|"5.00"|"31-10-2006"|"-"|"29-11-2006"
"Sri Nachammai"|"Final"|"12.50"|"28-08-2006"|"-"|"29-11-2006"
"Global Offshore"|"Interim"|"10.00"|"13-11-2006"|"28-11-2006"|"27-11-2006"
"Pearl Global"|"Final"|"30.00"|"29-06-2006"|"-"|"22-11-2006"
"Usha Intl"|"Interim"|"125.00"|"08-11-2006"|"23-11-2006"|"22-11-2006"
"Deepak Spinners"|"Final"|"8.00"|"20-09-2006"|"-"|"21-11-2006"
"Monsanto India"|"Interim"|"100.00"|"27-10-2006"|"21-11-2006"|"20-11-2006"
"Rolta"|"Final"|"40.00"|"08-08-2006"|"-"|"17-11-2006"
"TPL Plastech"|"Final"|"10.00"|"30-10-2006"|"20-11-2006"|"17-11-2006"
"Amrit Corp"|"Final"|"15.00"|"28-09-2006"|"-"|"16-11-2006"
"Alpine Hsg"|"Interim"|"12.50"|"01-11-2006"|"17-11-2006"|"16-11-2006"
"GFL"|"Final"|"100.00"|"31-10-2006"|"17-11-2006"|"16-11-2006"
"Mohit Ind"|"Interim"|"10.00"|"01-11-2006"|"17-11-2006"|"16-11-2006"
"Nandan Denim"|"Interim"|"7.50"|"02-11-2006"|"17-11-2006"|"16-11-2006"
"63 Moons Tech"|"Interim"|"40.00"|"02-11-2006"|"17-11-2006"|"16-11-2006"
"BLB"|"Interim"|"10.00"|"07-11-2006"|"16-11-2006"|"15-11-2006"
"BPCL"|"Final"|"25.00"|"27-09-2006"|"-"|"15-11-2006"
"EMA India"|"Final"|"30.00"|"30-10-2006"|"-"|"15-11-2006"
"EMA India"|"Final"|"10.00"|"31-10-2006"|"-"|"15-11-2006"
"Goldiam Inter"|"Interim"|"10.00"|"30-10-2006"|"16-11-2006"|"15-11-2006"
"Greenply Ind"|"Interim"|"20.00"|"18-10-2006"|"16-11-2006"|"15-11-2006"
"KSB Pumps"|"Interim"|"20.00"|"01-11-2006"|"16-11-2006"|"15-11-2006"
"CORE Education"|"Interim"|"5.00"|"31-10-2006"|"15-11-2006"|"14-11-2006"
"Gateway Distri"|"Interim"|"15.00"|"31-10-2006"|"15-11-2006"|"14-11-2006"
"MRF"|"Interim"|"30.00"|"30-10-2006"|"15-11-2006"|"14-11-2006"
"Voith Paper Fab"|"Final"|"30.00"|"07-11-2006"|"-"|"14-11-2006"
"JB Chemicals"|"Interim"|"55.00"|"31-10-2006"|"14-11-2006"|"13-11-2006"
"Varun Shipping"|"Interim"|"15.00"|"31-10-2006"|"14-11-2006"|"13-11-2006"
"Apar Ind"|"Interim"|"15.00"|"27-10-2006"|"13-11-2006"|"10-11-2006"
"JK Paper"|"Final"|"6.00"|"26-09-2006"|"-"|"10-11-2006"
