"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"India Nippon"|"Interim"|"30.00"|"16-12-2008"|"31-12-2008"|"30-12-2008"
"EngineersInd"|"Interim"|"45.00"|"11-12-2008"|"30-12-2008"|"29-12-2008"
"Sonata"|"Interim"|"100.00"|"16-12-2008"|"29-12-2008"|"26-12-2008"
"Amtek Auto"|"Final"|"25.00"|"02-12-2008"|"-"|"24-12-2008"
"Metalyst Forgin"|"Final"|"10.00"|"02-12-2008"|"-"|"24-12-2008"
"Castex Tech"|"Final"|"10.00"|"02-12-2008"|"-"|"24-12-2008"
"Shri Lakshmi Co"|"Final"|"5.00"|"28-11-2008"|"-"|"24-12-2008"
"Indo Bonito"|"Final"|"1.00"|"01-12-2008"|"-"|"24-12-2008"
"Usher Agro"|"Final"|"7.50"|"10-10-2008"|"-"|"24-12-2008"
"ONGC"|"Interim"|"180.00"|"05-12-2008"|"24-12-2008"|"23-12-2008"
"Solid Stone"|"Final"|"6.00"|"21-11-2008"|"-"|"23-12-2008"
"SMS Pharma"|"Final"|"20.00"|"01-12-2008"|"-"|"23-12-2008"
"DeccanChronicle"|"Interim"|"100.00"|"08-12-2008"|"23-12-2008"|"22-12-2008"
"MIC Electronics"|"Final"|"20.00"|"20-11-2008"|"-"|"22-12-2008"
"Shree Renuka"|"Final"|"20.00"|"14-11-2008"|"-"|"22-12-2008"
"Garware Marine"|"Final"|"5.00"|"17-11-2008"|"-"|"19-12-2008"
"United Spirits"|"Final"|"15.00"|"01-12-2008"|"-"|"19-12-2008"
"Sharon Bio Medi"|"Final"|"12.00"|"02-12-2008"|"-"|"19-12-2008"
"Shakti Pumps"|"Final"|"10.00"|"03-12-2008"|"-"|"19-12-2008"
"Shaw Wallace"|"Final"|"10.00"|"01-12-2008"|"-"|"19-12-2008"
"UB Holdings"|"Final"|"10.00"|"01-12-2008"|"-"|"19-12-2008"
"C & C Construct"|"Final"|"27.50"|"03-10-2008"|"-"|"18-12-2008"
"Centrum Capital"|"Final"|"10.00"|"01-10-2008"|"-"|"18-12-2008"
"Indus Fila"|"Final"|"5.00"|"13-10-2008"|"-"|"18-12-2008"
"JBF Industries"|"Final"|"15.00"|"19-11-2008"|"-"|"18-12-2008"
"Triveni Engg"|"Final"|"60.00"|"20-11-2008"|"-"|"18-12-2008"
"XL Energy"|"Final"|"15.00"|"02-12-2008"|"-"|"18-12-2008"
"Cummins"|"Interim"|"120.00"|"01-12-2008"|"16-12-2008"|"15-12-2008"
"Granules India"|"Final"|"12.50"|"21-10-2008"|"-"|"15-12-2008"
"Indo Tech Trans"|"Interim"|"85.00"|"28-11-2008"|"16-12-2008"|"15-12-2008"
"Vipul"|"Final"|"17.50"|"02-07-2008"|"-"|"12-12-2008"
"Colgate"|"Interim"|"900.00"|"07-11-2008"|"15-12-2008"|"12-12-2008"
"Garden Silk"|"Final"|"15.00"|"27-10-2008"|"-"|"12-12-2008"
"Sundaram-Clayto"|"Interim"|"20.00"|"19-11-2008"|"15-12-2008"|"12-12-2008"
"WABCO India"|"Interim"|"50.00"|"19-11-2008"|"15-12-2008"|"12-12-2008"
"Gufic Bio"|"Final"|"5.00"|"17-11-2008"|"-"|"11-12-2008"
"Indoco Remedies"|"Interim"|"32.50"|"26-11-2008"|"12-12-2008"|"11-12-2008"
"Mediaone Global"|"Final"|"6.00"|"05-12-2008"|"-"|"11-12-2008"
"Westlife Dev"|"Final"|"10.00"|"06-10-2008"|"11-12-2008"|"10-12-2008"
"Westlife Dev"|"Interim"|"5.00"|"21-11-2008"|"11-12-2008"|"10-12-2008"
"Vishnu Chemical"|"Final"|"10.00"|"04-08-2008"|"-"|"02-12-2008"
"Bhagiradh Chem"|"Interim"|"10.00"|"14-11-2008"|"01-12-2008"|"28-11-2008"
"Empee Distiller"|"Final"|"20.00"|"25-09-2008"|"-"|"28-11-2008"
"Indsil Hydro"|"Final"|"15.00"|"03-11-2008"|"-"|"28-11-2008"
"AIA Engineering"|"Interim"|"30.00"|"12-11-2008"|"28-11-2008"|"27-11-2008"
"Birla Power Sol"|"Final"|"3.00"|"14-10-2008"|"-"|"24-11-2008"
"Dhunseri Ventur"|"Final"|"20.00"|"01-10-2008"|"-"|"21-11-2008"
"Ballarpur Ind"|"Final"|"35.00"|"29-08-2008"|"-"|"20-11-2008"
"Joonktollee Tea"|"Final"|"15.00"|"03-11-2008"|"-"|"20-11-2008"
"Manjushree Tech"|"Interim"|"10.00"|"04-11-2008"|"21-11-2008"|"20-11-2008"
"Sankhya Infotec"|"Final"|"12.00"|"02-06-2008"|"-"|"20-11-2008"
"Nahar Capital"|"Final"|"30.00"|"22-08-2008"|"-"|"19-11-2008"
"Ramsarup Ind"|"Final"|"20.00"|"25-06-2008"|"-"|"19-11-2008"
"Inspirisys Solu"|"Interim"|"10.00"|"31-10-2008"|"19-11-2008"|"18-11-2008"
"Greaves Cotton"|"Interim"|"15.00"|"17-10-2008"|"18-11-2008"|"17-11-2008"
"Kesoram"|"Interim"|"22.50"|"03-11-2008"|"18-11-2008"|"17-11-2008"
"Shriram City"|"Interim"|"10.00"|"31-10-2008"|"18-11-2008"|"17-11-2008"
"eClerx Services"|"Interim"|"25.00"|"31-10-2008"|"17-11-2008"|"14-11-2008"
"Nestle"|"Interim"|"220.00"|"31-10-2008"|"17-11-2008"|"14-11-2008"
"63 Moons Tech"|"Interim"|"100.00"|"31-10-2008"|"17-11-2008"|"14-11-2008"
"Rolta"|"Final"|"30.00"|"24-07-2008"|"-"|"12-11-2008"
"Alfa Laval"|"Interim"|"100.00"|"23-10-2008"|"12-11-2008"|"11-11-2008"
"KSB Pumps"|"Interim"|"20.00"|"27-10-2008"|"11-11-2008"|"10-11-2008"
"Monsanto India"|"Interim"|"120.00"|"27-10-2008"|"11-11-2008"|"10-11-2008"
"Shriram Trans"|"Interim"|"10.00"|"24-10-2008"|"11-11-2008"|"10-11-2008"
"Ipca Labs"|"Interim"|"40.00"|"22-10-2008"|"10-11-2008"|"07-11-2008"
"Voith Paper Fab"|"Final"|"30.00"|"27-10-2008"|"-"|"07-11-2008"
"GMM Pfaudler"|"Interim"|"35.00"|"24-10-2008"|"07-11-2008"|"06-11-2008"
"Ingersoll Rand"|"Interim"|"30.00"|"20-10-2008"|"07-11-2008"|"06-11-2008"
"Mindtree"|"Interim"|"10.00"|"21-10-2008"|"07-11-2008"|"06-11-2008"
"MRF"|"Interim"|"30.00"|"21-10-2008"|"07-11-2008"|"06-11-2008"
"Krishna Venture"|"Interim"|"95.00"|"23-10-2008"|"19-11-2008"|"06-11-2008"
"Navin Fluorine"|"Interim"|"50.00"|"22-10-2008"|"07-11-2008"|"06-11-2008"
"Technocraft Ind"|"Final"|"10.00"|"30-09-2008"|"-"|"06-11-2008"
"Future Ent"|"Final"|"30.00"|"22-09-2008"|"-"|"05-11-2008"
"FEL"|"Final"|"30.00"|"22-09-2008"|"-"|"05-11-2008"
"Archidply Ind"|"Interim"|"20.00"|"20-10-2008"|"05-11-2008"|"04-11-2008"
"Page Industries"|"Interim"|"40.00"|"01-10-2008"|"04-11-2008"|"03-11-2008"
"Aarti Ind"|"Interim"|"36.00"|"08-10-2008"|"03-11-2008"|"31-10-2008"
"CRISIL"|"Interim"|"250.00"|"15-10-2008"|"03-11-2008"|"31-10-2008"
"Godrej Consumer"|"Interim"|"75.00"|"06-10-2008"|"03-11-2008"|"31-10-2008"
"GE Shipping"|"Interim"|"25.00"|"17-10-2008"|"03-11-2008"|"31-10-2008"
"Nacl Industries"|"Interim"|"10.00"|"17-10-2008"|"03-11-2008"|"31-10-2008"
"SRF"|"Interim"|"50.00"|"17-10-2008"|"03-11-2008"|"31-10-2008"
"Asian Paints"|"Interim"|"65.00"|"07-10-2008"|"31-10-2008"|"29-10-2008"
"Gateway Distri"|"Interim"|"15.00"|"07-10-2008"|"31-10-2008"|"29-10-2008"
