"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Power Finance"|"Interim"|"88.00"|"11-12-2015"|"28-12-2015"|"23-12-2015"
"Dhanuka Agritec"|"Final"|"225.00"|"28-05-2015"|"-"|"22-12-2015"
"Alicon Castallo"|"Final"|"60.00"|"30-04-2015"|"-"|"22-12-2015"
"Hitech Corp"|"Final"|"9.00"|"01-06-2015"|"-"|"21-12-2015"
"Man Industries"|"Final"|"30.00"|"29-04-2015"|"-"|"18-12-2015"
"Gujarat Gas"|"Final"|"50.00"|"01-12-2015"|"-"|"17-12-2015"
"Tourism Finance"|"Interim"|"10.00"|"03-12-2015"|"17-12-2015"|"16-12-2015"
"CMI"|"Interim"|"10.00"|"03-12-2015"|"15-12-2015"|"14-12-2015"
"Nestle"|"Interim"|"160.00"|"27-11-2015"|"14-12-2015"|"11-12-2015"
"Colgate"|"Interim"|"300.00"|"19-11-2015"|"11-12-2015"|"10-12-2015"
"Indsil Hydro"|"Final"|"12.00"|"17-08-2015"|"-"|"08-12-2015"
"Captain Poly"|"Interim"|"4.00"|"09-11-2015"|"30-11-2015"|"27-11-2015"
"Manappuram Fin"|"Interim"|"22.50"|"16-11-2015"|"26-11-2015"|"24-11-2015"
"Vidhi Spec"|"Interim"|"20.00"|"16-11-2015"|"26-11-2015"|"24-11-2015"
"Softsol India"|"Interim"|"12.00"|"13-11-2015"|"25-11-2015"|"23-11-2015"
"Take Solutions"|"Interim"|"30.00"|"09-11-2015"|"25-11-2015"|"23-11-2015"
"DCM"|"Interim"|"15.00"|"09-11-2015"|"23-11-2015"|"20-11-2015"
"Allcargo"|"Interim"|"50.00"|"06-11-2015"|"20-11-2015"|"19-11-2015"
"Aurobindo Pharm"|"Interim"|"60.00"|"09-11-2015"|"20-11-2015"|"19-11-2015"
"Hinduja Global"|"Interim"|"50.00"|"09-11-2015"|"20-11-2015"|"19-11-2015"
"Info Edge"|"Interim"|"10.00"|"06-11-2015"|"20-11-2015"|"19-11-2015"
"Indag Rubber"|"Interim"|"45.00"|"04-11-2015"|"20-11-2015"|"19-11-2015"
"Kewal Kiran"|"Interim"|"85.00"|"06-11-2015"|"20-11-2015"|"19-11-2015"
"Monsanto India"|"Interim"|"150.00"|"02-11-2015"|"20-11-2015"|"19-11-2015"
"Max Financial"|"Interim"|"90.00"|"06-11-2015"|"20-11-2015"|"19-11-2015"
"MEP Infra"|"Interim"|"1.00"|"06-11-2015"|"20-11-2015"|"19-11-2015"
"MM Forgings"|"Interim"|"30.00"|"09-11-2015"|"20-11-2015"|"19-11-2015"
"Nilkamal"|"Interim"|"25.00"|"05-11-2015"|"20-11-2015"|"19-11-2015"
"Oriental Carbon"|"Interim"|"30.00"|"09-11-2015"|"20-11-2015"|"19-11-2015"
"Reliance Power"|"Interim"|"10.00"|"09-11-2015"|"21-11-2015"|"19-11-2015"
"Expleo Solution"|"Interim"|"40.00"|"05-11-2015"|"20-11-2015"|"19-11-2015"
"Triveni Turbine"|"Interim"|"40.00"|"06-11-2015"|"20-11-2015"|"19-11-2015"
"Ingersoll Rand"|"Interim"|"30.00"|"05-11-2015"|"19-11-2015"|"18-11-2015"
"Precision Wires"|"Interim"|"25.00"|"04-11-2015"|"19-11-2015"|"18-11-2015"
"Ind Motor Parts"|"Interim"|"25.00"|"03-11-2015"|"18-11-2015"|"17-11-2015"
"PI Industries"|"Interim"|"120.00"|"02-11-2015"|"18-11-2015"|"17-11-2015"
"PPAP Automotive"|"Interim"|"10.00"|"04-11-2015"|"18-11-2015"|"17-11-2015"
"Hexaware Tech"|"Interim"|"112.50"|"03-11-2015"|"17-11-2015"|"16-11-2015"
"CARE Ratings"|"Interim"|"60.00"|"02-11-2015"|"17-11-2015"|"16-11-2015"
"Chembond Chem"|"Interim"|"60.00"|"02-11-2015"|"17-11-2015"|"16-11-2015"
"Gabriel India"|"Interim"|"45.00"|"03-11-2015"|"17-11-2015"|"16-11-2015"
"MT Educare"|"Interim"|"6.00"|"29-10-2015"|"17-11-2015"|"16-11-2015"
"Page Industries"|"Interim"|"210.00"|"20-10-2015"|"17-11-2015"|"16-11-2015"
"Cupid"|"Interim"|"10.00"|"03-11-2015"|"16-11-2015"|"13-11-2015"
"DCM Shriram"|"Interim"|"60.00"|"02-11-2015"|"16-11-2015"|"13-11-2015"
"Sundram"|"Interim"|"85.00"|"02-11-2015"|"16-11-2015"|"13-11-2015"
"Saven Tech"|"Interim"|"20.00"|"10-11-2015"|"16-11-2015"|"13-11-2015"
"Atul Auto"|"Interim"|"55.00"|"02-11-2015"|"13-11-2015"|"10-11-2015"
"Aarti Drugs"|"Interim"|"22.50"|"23-10-2015"|"14-11-2015"|"10-11-2015"
"APM Industries"|"Interim"|"75.00"|"16-10-2015"|"14-11-2015"|"10-11-2015"
"GMM Pfaudler"|"Interim"|"35.00"|"03-11-2015"|"13-11-2015"|"10-11-2015"
"Gulshan Poly"|"Interim"|"35.00"|"02-11-2015"|"13-11-2015"|"10-11-2015"
"LG Balakrishnan"|"Interim"|"25.00"|"26-10-2015"|"13-11-2015"|"10-11-2015"
"Manaksia"|"Interim"|"100.00"|"30-10-2015"|"14-11-2015"|"10-11-2015"
"MRF"|"Interim"|"30.00"|"29-10-2015"|"13-11-2015"|"10-11-2015"
"ONGC"|"Interim"|"90.00"|"28-10-2015"|"13-11-2015"|"10-11-2015"
"Sonata"|"Interim"|"350.00"|"02-11-2015"|"13-11-2015"|"10-11-2015"
"Tide Water Oil"|"Interim"|"1500.00"|"02-11-2015"|"13-11-2015"|"10-11-2015"
"Aarti Ind"|"Interim"|"60.00"|"26-10-2015"|"11-11-2015"|"09-11-2015"
"Astral Poly Tec"|"Interim"|"15.00"|"26-10-2015"|"10-11-2015"|"09-11-2015"
"Granules India"|"Interim"|"15.00"|"02-11-2015"|"11-11-2015"|"09-11-2015"
"Marico"|"Interim"|"175.00"|"26-10-2015"|"10-11-2015"|"09-11-2015"
"Mayur Uniquoter"|"Interim"|"16.00"|"19-10-2015"|"10-11-2015"|"09-11-2015"
"Solar Ind"|"Interim"|"90.00"|"29-10-2015"|"10-11-2015"|"09-11-2015"
"Aegis Logistics"|"Interim"|"30.00"|"23-10-2015"|"09-11-2015"|"06-11-2015"
"Harita Seating"|"Interim"|"25.00"|"26-10-2015"|"09-11-2015"|"06-11-2015"
"Navin Fluorine"|"Interim"|"100.00"|"27-10-2015"|"09-11-2015"|"06-11-2015"
"Shriram City"|"Interim"|"50.00"|"28-10-2015"|"09-11-2015"|"06-11-2015"
"Colgate"|"Interim"|"400.00"|"05-10-2015"|"06-11-2015"|"05-11-2015"
"Dabur India"|"Interim"|"125.00"|"13-10-2015"|"06-11-2015"|"05-11-2015"
"Exide Ind"|"Interim"|"160.00"|"28-10-2015"|"07-11-2015"|"05-11-2015"
"Muthoot Finance"|"Interim"|"40.00"|"27-10-2015"|"06-11-2015"|"05-11-2015"
"MPS"|"Interim"|"70.00"|"26-10-2015"|"06-11-2015"|"05-11-2015"
"R Systems Intl"|"Interim"|"25.00"|"30-10-2015"|"06-11-2015"|"05-11-2015"
"Shree Cements"|"Final"|"140.00"|"05-08-2015"|"-"|"05-11-2015"
"Shriram Trans"|"Interim"|"40.00"|"16-10-2015"|"06-11-2015"|"05-11-2015"
"Indo Count"|"Interim"|"10.00"|"26-10-2015"|"04-11-2015"|"03-11-2015"
"Thirumalai Chem"|"Interim"|"40.00"|"19-10-2015"|"04-11-2015"|"03-11-2015"
"Trident"|"Interim"|"3.00"|"20-10-2015"|"03-11-2015"|"02-11-2015"
"Dewan Housing"|"Interim"|"30.00"|"20-10-2015"|"03-11-2015"|"02-11-2015"
"Indiabulls Hsg"|"Interim"|"450.00"|"21-10-2015"|"03-11-2015"|"02-11-2015"
"Indiabulls Vent"|"Interim"|"25.00"|"21-10-2015"|"03-11-2015"|"02-11-2015"
