"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Coal India"|"Interim"|"72.50"|"17-12-2018"|"31-12-2018"|"28-12-2018"
"RITES"|"Interim"|"47.50"|"17-12-2018"|"28-12-2018"|"27-12-2018"
"IOC"|"Interim"|"67.50"|"13-12-2018"|"25-12-2018"|"21-12-2018"
"Dharamsi Morarj"|"Interim"|"5.00"|"07-12-2018"|"21-12-2018"|"20-12-2018"
"Aarey Drugs"|"Interim"|"1.00"|"30-11-2018"|"14-12-2018"|"13-12-2018"
"Nestle"|"Interim"|"500.00"|"28-11-2018"|"13-12-2018"|"12-12-2018"
"BSE Limited"|"Interim"|"250.00"|"30-11-2018"|"12-12-2018"|"11-12-2018"
"Zodiac Ventures"|"Final"|"1.00"|"28-05-2018"|"-"|"11-12-2018"
"Saven Tech"|"Interim"|"100.00"|"27-11-2018"|"07-12-2018"|"06-12-2018"
"Worth Periphera"|"Interim"|"6.00"|"20-11-2018"|"05-12-2018"|"04-12-2018"
"Esab India"|"Interim"|"900.00"|"19-11-2018"|"04-12-2018"|"03-12-2018"
"Indag Rubber"|"Interim"|"45.00"|"13-11-2018"|"30-11-2018"|"29-11-2018"
"Jamna Auto"|"Interim"|"50.00"|"12-11-2018"|"30-11-2018"|"29-11-2018"
"Sandur Manganes"|"Interim"|"35.00"|"30-10-2018"|"30-11-2018"|"29-11-2018"
"Gallantt Ispat"|"Interim"|"5.00"|"14-11-2018"|"28-11-2018"|"27-11-2018"
"Polyplex Corp"|"Interim"|"100.00"|"14-11-2018"|"28-11-2018"|"27-11-2018"
"Sonam Clock"|"Interim"|"5.00"|"14-11-2018"|"28-11-2018"|"27-11-2018"
"Kaveri Seed"|"Interim"|"150.00"|"14-11-2018"|"27-11-2018"|"26-11-2018"
"Rain Industries"|"Interim"|"50.00"|"14-11-2018"|"27-11-2018"|"26-11-2018"
"Sadbhav Infra"|"Interim"|"2.00"|"14-11-2018"|"27-11-2018"|"26-11-2018"
"Aurobindo Pharm"|"Interim"|"125.00"|"12-11-2018"|"22-11-2018"|"20-11-2018"
"Astral Poly Tec"|"Interim"|"30.00"|"01-11-2018"|"22-11-2018"|"20-11-2018"
"Amara Raja Batt"|"Interim"|"200.00"|"09-11-2018"|"23-11-2018"|"20-11-2018"
"CMI"|"Final"|"10.00"|"31-05-2018"|"-"|"20-11-2018"
"Global Educatio"|"Interim"|"25.00"|"13-11-2018"|"23-11-2018"|"20-11-2018"
"Morganite India"|"Interim"|"40.00"|"13-11-2018"|"23-11-2018"|"20-11-2018"
"Gillette India"|"Final"|"230.00"|"23-08-2018"|"-"|"20-11-2018"
"Maan Aluminium"|"Interim"|"10.00"|"05-11-2018"|"22-11-2018"|"20-11-2018"
"MAS Financial S"|"Interim"|"15.00"|"01-11-2018"|"23-11-2018"|"20-11-2018"
"Mayur Uniquoter"|"Interim"|"10.00"|"05-11-2018"|"23-11-2018"|"20-11-2018"
"Nile"|"Interim"|"20.00"|"12-11-2018"|"23-11-2018"|"20-11-2018"
"P and G"|"Final"|"400.00"|"23-08-2018"|"-"|"20-11-2018"
"Page Industries"|"Interim"|"410.00"|"29-10-2018"|"22-11-2018"|"20-11-2018"
"Page Industries"|"Special"|"1100.00"|"14-11-2018"|"22-11-2018"|"20-11-2018"
"RCI Industries"|"Interim"|"5.00"|"05-11-2018"|"23-11-2018"|"20-11-2018"
"Saksoft"|"Interim"|"10.00"|"12-11-2018"|"23-11-2018"|"20-11-2018"
"Shilp Gravures"|"Interim"|"25.00"|"12-11-2018"|"22-11-2018"|"20-11-2018"
"Sri Krishna Con"|"Final"|"1.50"|"28-05-2018"|"-"|"20-11-2018"
"Siyaram Silk"|"Interim"|"110.00"|"02-11-2018"|"22-11-2018"|"20-11-2018"
"Cupid"|"Interim"|"10.00"|"06-11-2018"|"20-11-2018"|"19-11-2018"
"Dr Lal PathLab"|"Interim"|"25.00"|"06-11-2018"|"20-11-2018"|"19-11-2018"
"Gulshan Poly"|"Interim"|"40.00"|"05-11-2018"|"21-11-2018"|"19-11-2018"
"Manappuram Fin"|"Interim"|"27.50"|"06-11-2018"|"20-11-2018"|"19-11-2018"
"MRF"|"Interim"|"30.00"|"09-11-2018"|"20-11-2018"|"19-11-2018"
"Nicco Parks"|"Interim"|"20.00"|"05-11-2018"|"20-11-2018"|"19-11-2018"
"Tide Water Oil"|"Final"|"0.00"|"31-10-2018"|"20-11-2018"|"19-11-2018"
"Tide Water Oil"|"Interim"|"1500.00"|"31-10-2018"|"20-11-2018"|"19-11-2018"
"Atul Auto"|"Interim"|"55.00"|"05-11-2018"|"19-11-2018"|"16-11-2018"
"Hinduja Global"|"Interim"|"25.00"|"02-11-2018"|"19-11-2018"|"16-11-2018"
"Precision Wires"|"Interim"|"40.00"|"05-11-2018"|"19-11-2018"|"16-11-2018"
"Vidhi Spec"|"Interim"|"20.00"|"05-11-2018"|"19-11-2018"|"16-11-2018"
"Apollo Micro Sy"|"Interim"|"10.00"|"02-11-2018"|"16-11-2018"|"15-11-2018"
"Bharat Forge"|"Interim"|"125.00"|"02-11-2018"|"16-11-2018"|"15-11-2018"
"CARE Ratings"|"Interim"|"60.00"|"02-11-2018"|"16-11-2018"|"15-11-2018"
"Commercial Syn"|"Interim"|"7.00"|"05-11-2018"|"16-11-2018"|"15-11-2018"
"Exide Ind"|"Interim"|"160.00"|"05-11-2018"|"17-11-2018"|"15-11-2018"
"Gabriel India"|"Interim"|"55.00"|"26-10-2018"|"16-11-2018"|"15-11-2018"
"Graphite India"|"Interim"|"1000.00"|"31-10-2018"|"16-11-2018"|"15-11-2018"
"Ingersoll Rand"|"Interim"|"30.00"|"02-11-2018"|"16-11-2018"|"15-11-2018"
"Oriental Carbon"|"Interim"|"40.00"|"01-11-2018"|"16-11-2018"|"15-11-2018"
"Petronet LNG"|"Interim"|"55.00"|"02-11-2018"|"17-11-2018"|"15-11-2018"
"Salasar Techno"|"Interim"|"10.00"|"29-10-2018"|"16-11-2018"|"15-11-2018"
"Sandhar Technol"|"Interim"|"12.50"|"05-11-2018"|"16-11-2018"|"15-11-2018"
"VRL Logistics"|"Interim"|"35.00"|"05-11-2018"|"17-11-2018"|"15-11-2018"
"Valiant Organic"|"Interim"|"50.00"|"05-11-2018"|"16-11-2018"|"15-11-2018"
"Balkrishna Ind"|"Interim"|"100.00"|"26-10-2018"|"15-11-2018"|"14-11-2018"
"Clariant Chem"|"Interim"|"50.00"|"01-11-2018"|"15-11-2018"|"14-11-2018"
"Indian Toners"|"Interim"|"15.00"|"23-10-2018"|"15-11-2018"|"14-11-2018"
"Navin Fluorine"|"Interim"|"190.00"|"30-10-2018"|"15-11-2018"|"14-11-2018"
"Sun TV Network"|"Interim"|"50.00"|"26-10-2018"|"15-11-2018"|"14-11-2018"
"ASM Tech"|"Interim"|"30.00"|"17-10-2018"|"14-11-2018"|"13-11-2018"
"Godrej Consumer"|"Interim"|"400.00"|"10-10-2018"|"14-11-2018"|"13-11-2018"
"Gujarat Pipavav"|"Interim"|"17.00"|"31-10-2018"|"14-11-2018"|"13-11-2018"
"Indostar Capita"|"Interim"|"10.00"|"31-10-2018"|"14-11-2018"|"13-11-2018"
"Sonata"|"Interim"|"475.00"|"16-10-2018"|"14-11-2018"|"13-11-2018"
"Transport Corp"|"Interim"|"40.00"|"26-10-2018"|"14-11-2018"|"13-11-2018"
"TCI Express"|"Interim"|"60.00"|"26-10-2018"|"14-11-2018"|"13-11-2018"
"Amrutanjan Heal"|"Interim"|"55.00"|"29-10-2018"|"13-11-2018"|"12-11-2018"
"HEG"|"Interim"|"300.00"|"26-10-2018"|"13-11-2018"|"12-11-2018"
"Monsanto India"|"Interim"|"250.00"|"29-10-2018"|"13-11-2018"|"12-11-2018"
"Marico"|"Interim"|"200.00"|"11-10-2018"|"13-11-2018"|"12-11-2018"
