"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Sukhjit Starch"|"Interim"|"40.00"|"20-12-2010"|"-"|"30-12-2010"
"Amtek Auto"|"Final"|"50.00"|"25-11-2010"|"-"|"29-12-2010"
"Metalyst Forgin"|"Final"|"20.00"|"24-11-2010"|"-"|"29-12-2010"
"Castex Tech"|"Final"|"20.00"|"26-11-2010"|"-"|"29-12-2010"
"GAIL"|"Interim"|"20.00"|"23-11-2010"|"28-12-2010"|"27-12-2010"
"Mediaone Global"|"Final"|"8.00"|"04-10-2010"|"-"|"27-12-2010"
"Jhaveri Flexo"|"Final"|"5.00"|"31-05-2010"|"-"|"23-12-2010"
"Fedders Elec"|"Final"|"10.00"|"02-12-2010"|"-"|"23-12-2010"
"Falcon Tyres"|"Final"|"50.00"|"15-11-2010"|"-"|"23-12-2010"
"Kitex Garments"|"Final"|"30.00"|"06-12-2010"|"-"|"23-12-2010"
"Vaishnavi Gold"|"Final"|"5.00"|"06-12-2010"|"-"|"23-12-2010"
"Sharon Bio Medi"|"Final"|"15.00"|"06-12-2010"|"-"|"23-12-2010"
"Centrum Capital"|"Final"|"5.00"|"01-10-2010"|"-"|"22-12-2010"
"JHS Svendgaard"|"Final"|"5.00"|"04-06-2010"|"-"|"22-12-2010"
"Bartronics"|"Final"|"10.00"|"07-12-2010"|"-"|"21-12-2010"
"GSS Infotech"|"Final"|"15.00"|"30-11-2010"|"-"|"21-12-2010"
"Garware Marine"|"Final"|"5.00"|"09-11-2010"|"-"|"21-12-2010"
"Minal Ind"|"Final"|"10.00"|"13-12-2010"|"-"|"21-12-2010"
"JSW Ispat Speci"|"Final"|"50.00"|"26-11-2010"|"-"|"21-12-2010"
"Pee Cee Cosma"|"Final"|"25.00"|"05-08-2010"|"-"|"21-12-2010"
"Glodyne Techno"|"Final"|"42.00"|"26-11-2010"|"-"|"21-12-2010"
"ONGC"|"Interim"|"320.00"|"01-12-2010"|"21-12-2010"|"20-12-2010"
"Brightcom Group"|"Final"|"10.00"|"12-07-2010"|"-"|"16-12-2010"
"Manaksia"|"Final"|"120.00"|"31-05-2010"|"-"|"15-12-2010"
"Minda Ind"|"Final"|"30.00"|"31-05-2010"|"-"|"15-12-2010"
"Neo Corp"|"Final"|"5.00"|"19-10-2010"|"-"|"15-12-2010"
"Colgate"|"Interim"|"500.00"|"15-11-2010"|"15-12-2010"|"14-12-2010"
"Kesar Ent"|"Final"|"10.00"|"22-11-2010"|"-"|"14-12-2010"
"Shakti Pumps"|"Final"|"10.00"|"01-11-2010"|"-"|"13-12-2010"
"Assam Petrochem"|"Final"|"10.00"|"30-09-2010"|"-"|"10-12-2010"
"Caplin Labs"|"Final"|"10.00"|"22-11-2010"|"-"|"09-12-2010"
"OM Metals Infra"|"Interim"|"15.00"|"11-11-2010"|"10-12-2010"|"09-12-2010"
"Advani Hotels"|"Final"|"5.00"|"08-11-2010"|"-"|"09-12-2010"
"RR Finance"|"Final"|"10.00"|"29-11-2010"|"-"|"09-12-2010"
"Symphony"|"Final"|"25.00"|"30-08-2010"|"-"|"09-12-2010"
"Weizmann"|"Final"|"5.00"|"30-11-2010"|"-"|"08-12-2010"
"Energy Dev"|"Final"|"10.00"|"28-09-2010"|"-"|"07-12-2010"
"ESS DEE"|"Final"|"20.00"|"27-05-2010"|"-"|"07-12-2010"
"Oricon Ent"|"Final"|"18.00"|"20-10-2010"|"-"|"02-12-2010"
"Cella Space Ltd"|"Interim"|"8.00"|"22-11-2010"|"02-12-2010"|"01-12-2010"
"AGC Networks"|"Final"|"45.00"|"16-11-2010"|"-"|"29-11-2010"
"Bliss GVS"|"Interim"|"30.00"|"12-11-2010"|"27-11-2010"|"25-11-2010"
"Firstobject Tec"|"Interim"|"0.50"|"28-10-2010"|"26-11-2010"|"25-11-2010"
"Mohite Ind"|"Interim"|"5.00"|"16-11-2010"|"26-11-2010"|"25-11-2010"
"Allcargo"|"Interim"|"25.00"|"15-11-2010"|"25-11-2010"|"24-11-2010"
"Capri Global"|"Interim"|"12.50"|"12-11-2010"|"25-11-2010"|"24-11-2010"
"Greaves Cotton"|"Interim"|"20.00"|"12-11-2010"|"25-11-2010"|"24-11-2010"
"Indag Rubber"|"Interim"|"15.00"|"10-11-2010"|"25-11-2010"|"24-11-2010"
"Kesoram"|"Interim"|"22.50"|"10-11-2010"|"25-11-2010"|"24-11-2010"
"Man Infra"|"Interim"|"18.00"|"11-11-2010"|"25-11-2010"|"24-11-2010"
"Shri Lakshmi Co"|"Final"|"30.00"|"29-09-2010"|"-"|"23-11-2010"
"Gateway Distri"|"Interim"|"20.00"|"11-11-2010"|"23-11-2010"|"22-11-2010"
"Dynamatic Tech"|"Interim"|"30.00"|"09-11-2010"|"22-11-2010"|"19-11-2010"
"Empee Sugars"|"Interim"|"5.00"|"10-11-2010"|"20-11-2010"|"18-11-2010"
"Garware Poly"|"Interim"|"15.00"|"04-11-2010"|"19-11-2010"|"18-11-2010"
"Welspun Enter"|"Final"|"10.00"|"03-06-2010"|"-"|"18-11-2010"
"Page Industries"|"Interim"|"80.00"|"20-10-2010"|"19-11-2010"|"18-11-2010"
"Voith Paper Fab"|"Final"|"30.00"|"26-10-2010"|"-"|"18-11-2010"
"63 Moons Tech"|"Interim"|"100.00"|"10-11-2010"|"20-11-2010"|"18-11-2010"
"Chartered Logis"|"Interim"|"10.00"|"08-11-2010"|"18-11-2010"|"16-11-2010"
"Indo Amines"|"Interim"|"7.00"|"28-10-2010"|"18-11-2010"|"16-11-2010"
"Poddar Pigments"|"Interim"|"15.00"|"04-11-2010"|"18-11-2010"|"16-11-2010"
"Sundram"|"Interim"|"55.00"|"01-11-2010"|"18-11-2010"|"16-11-2010"
"Sonata"|"Interim"|"100.00"|"02-11-2010"|"18-11-2010"|"16-11-2010"
"Ballarpur Ind"|"Final"|"25.00"|"23-08-2010"|"-"|"15-11-2010"
"Gabriel India"|"Interim"|"30.00"|"03-11-2010"|"16-11-2010"|"15-11-2010"
"Kemrock Indus"|"Final"|"10.00"|"30-08-2010"|"-"|"15-11-2010"
"Polyplex Corp"|"Interim"|"60.00"|"08-11-2010"|"16-11-2010"|"15-11-2010"
"Relaxo Footwear"|"Interim"|"10.00"|"04-11-2010"|"16-11-2010"|"15-11-2010"
"Suraj"|"Final"|"15.00"|"24-09-2010"|"-"|"15-11-2010"
"Rolta"|"Final"|"32.50"|"10-08-2010"|"-"|"15-11-2010"
"Shree Ganesh"|"Interim"|"30.00"|"28-10-2010"|"16-11-2010"|"15-11-2010"
"Aurobindo Pharm"|"Interim"|"100.00"|"29-10-2010"|"12-11-2010"|"11-11-2010"
"Ester Ind"|"Interim"|"40.00"|"02-11-2010"|"13-11-2010"|"11-11-2010"
"GMM Pfaudler"|"Interim"|"35.00"|"27-10-2010"|"12-11-2010"|"11-11-2010"
"Hatsun Agro"|"Interim"|"30.00"|"02-11-2010"|"13-11-2010"|"11-11-2010"
"Hind Copper"|"Interim"|"10.00"|"27-10-2010"|"12-11-2010"|"11-11-2010"
"Indian Metals"|"Interim"|"50.00"|"29-10-2010"|"12-11-2010"|"11-11-2010"
"Mayur Uniquoter"|"Interim"|"15.00"|"27-10-2010"|"12-11-2010"|"11-11-2010"
"Navin Fluorine"|"Interim"|"65.00"|"20-10-2010"|"12-11-2010"|"11-11-2010"
"Solar Ind"|"Interim"|"40.00"|"01-11-2010"|"12-11-2010"|"11-11-2010"
"Aegis Logistics"|"Interim"|"20.00"|"01-11-2010"|"11-11-2010"|"10-11-2010"
"Infinite Comp"|"Interim"|"30.00"|"25-10-2010"|"11-11-2010"|"10-11-2010"
"Liberty Phos"|"Interim"|"6.00"|"01-11-2010"|"11-11-2010"|"10-11-2010"
"Oriental Carbon"|"Interim"|"20.00"|"28-10-2010"|"11-11-2010"|"10-11-2010"
"Visaka Ind"|"Interim"|"30.00"|"27-10-2010"|"11-11-2010"|"10-11-2010"
