"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Page Industries"|"Interim"|"120.00"|"15-10-2012"|"16-11-2012"|"15-11-2012"
"Rolta"|"Final"|"30.00"|"22-08-2012"|"-"|"15-11-2012"
"Shriram City"|"Interim"|"25.00"|"31-10-2012"|"16-11-2012"|"15-11-2012"
"Solar Ind"|"Interim"|"50.00"|"05-11-2012"|"17-11-2012"|"15-11-2012"
"SRF"|"Interim"|"50.00"|"02-11-2012"|"16-11-2012"|"15-11-2012"
"Shriram Trans"|"Interim"|"30.00"|"30-10-2012"|"16-11-2012"|"15-11-2012"
"Malabar Trading"|"Final"|"1.00"|"01-10-2012"|"-"|"12-11-2012"
"GMM Pfaudler"|"Interim"|"35.00"|"22-10-2012"|"12-11-2012"|"09-11-2012"
"Ramco Cements"|"Interim"|"100.00"|"25-10-2012"|"12-11-2012"|"09-11-2012"
"ASM Tech"|"Interim"|"12.00"|"01-11-2012"|"10-11-2012"|"08-11-2012"
"Godrej Consumer"|"Interim"|"100.00"|"12-10-2012"|"09-11-2012"|"08-11-2012"
"Gateway Distri"|"Interim"|"40.00"|"25-10-2012"|"10-11-2012"|"08-11-2012"
"KSB Pumps"|"Interim"|"10.00"|"26-10-2012"|"09-11-2012"|"08-11-2012"
"Polaris Consult"|"Final"|"60.00"|"12-10-2012"|"-"|"08-11-2012"
"Expleo Solution"|"Interim"|"30.00"|"25-10-2012"|"09-11-2012"|"08-11-2012"
"Triveni Turbine"|"Interim"|"25.00"|"29-10-2012"|"09-11-2012"|"08-11-2012"
"Visaka Ind"|"Interim"|"10.00"|"29-10-2012"|"09-11-2012"|"08-11-2012"
"63 Moons Tech"|"Interim"|"100.00"|"17-10-2012"|"09-11-2012"|"08-11-2012"
"CG Power"|"Interim"|"20.00"|"25-10-2012"|"08-11-2012"|"07-11-2012"
"Marico"|"Interim"|"50.00"|"08-10-2012"|"08-11-2012"|"07-11-2012"
"MRF"|"Interim"|"30.00"|"25-10-2012"|"08-11-2012"|"07-11-2012"
"Sasken Tech"|"Interim"|"25.00"|"25-10-2012"|"07-11-2012"|"06-11-2012"
"Aarti Drugs"|"Interim"|"30.00"|"22-10-2012"|"06-11-2012"|"05-11-2012"
"Aarti Ind"|"Interim"|"30.00"|"19-10-2012"|"06-11-2012"|"05-11-2012"
"Cairn India"|"Interim"|"50.00"|"22-10-2012"|"06-11-2012"|"05-11-2012"
"Polytex India"|"Interim"|"2.50"|"18-10-2012"|"06-11-2012"|"05-11-2012"
"Apar Ind"|"Final"|"40.00"|"27-09-2012"|"-"|"02-11-2012"
"Bharat Agri"|"Interim"|"10.00"|"22-10-2012"|"05-11-2012"|"02-11-2012"
"IRB Infra"|"Interim"|"10.00"|"22-10-2012"|"05-11-2012"|"02-11-2012"
"Elixir Cap"|"Interim"|"15.00"|"25-10-2012"|"-"|"01-11-2012"
"Dewan Housing"|"Interim"|"20.00"|"22-10-2012"|"03-11-2012"|"01-11-2012"
"HUL"|"Interim"|"1250.00"|"18-10-2012"|"02-11-2012"|"01-11-2012"
"Indiabulls"|"Interim"|"400.00"|"22-10-2012"|"02-11-2012"|"01-11-2012"
"Ipca Labs"|"Interim"|"100.00"|"09-10-2012"|"02-11-2012"|"01-11-2012"
"KCP"|"Interim"|"25.00"|"03-10-2012"|"02-11-2012"|"01-11-2012"
"Kolte-Patil"|"Interim"|"20.00"|"22-10-2012"|"02-11-2012"|"01-11-2012"
"Dabur India"|"Interim"|"65.00"|"12-10-2012"|"01-11-2012"|"31-10-2012"
"Exide Ind"|"Interim"|"100.00"|"19-10-2012"|"01-11-2012"|"31-10-2012"
"Indiabulls Vent"|"Interim"|"50.00"|"19-10-2012"|"01-11-2012"|"31-10-2012"
"Surya Roshni"|"Interim"|"20.00"|"17-10-2012"|"01-11-2012"|"31-10-2012"
"TCS"|"Interim"|"300.00"|"19-10-2012"|"01-11-2012"|"31-10-2012"
"Asian Paints"|"Interim"|"95.00"|"04-10-2012"|"30-10-2012"|"29-10-2012"
"Navin Fluorine"|"Interim"|"75.00"|"15-10-2012"|"30-10-2012"|"29-10-2012"
"Rallis India"|"Interim"|"100.00"|"17-10-2012"|"30-10-2012"|"29-10-2012"
"Sterlite Ind"|"Interim"|"110.00"|"15-10-2012"|"30-10-2012"|"29-10-2012"
