"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"Tricom India"|"Final"|"10.00"|"30-11-2011"|"-"|"27-12-2011"
"Amtek Auto"|"Final"|"50.00"|"14-11-2011"|"-"|"26-12-2011"
"Metalyst Forgin"|"Final"|"20.00"|"14-11-2011"|"-"|"26-12-2011"
"Castex Tech"|"Final"|"20.00"|"14-11-2011"|"-"|"26-12-2011"
"Alfa Laval"|"Interim"|"300.00"|"14-12-2011"|"27-12-2011"|"26-12-2011"
"Shri Lakshmi Co"|"Final"|"30.00"|"30-11-2011"|"-"|"26-12-2011"
"JHS Svendgaard"|"Final"|"7.50"|"29-11-2011"|"-"|"26-12-2011"
"Mediaone Global"|"Final"|"8.00"|"04-10-2011"|"-"|"23-12-2011"
"Autoline Ind"|"Final"|"30.00"|"01-12-2011"|"-"|"22-12-2011"
"Fedders Elec"|"Final"|"15.00"|"02-12-2011"|"-"|"22-12-2011"
"Colgate"|"Interim"|"900.00"|"08-11-2011"|"21-12-2011"|"20-12-2011"
"Garware Marine"|"Final"|"5.00"|"15-11-2011"|"-"|"20-12-2011"
"FE (India)"|"Final"|"2.50"|"30-11-2011"|"-"|"16-12-2011"
"GFL"|"Interim"|"200.00"|"07-12-2011"|"19-12-2011"|"16-12-2011"
"Garware Poly"|"Final"|"85.00"|"15-11-2011"|"-"|"16-12-2011"
"SBandT Intl"|"Final"|"1.00"|"29-11-2011"|"-"|"16-12-2011"
"United Brewerie"|"Final"|"60.00"|"23-11-2011"|"-"|"16-12-2011"
"Falcon Tyres"|"Final"|"35.00"|"08-11-2011"|"-"|"15-12-2011"
"Man Industries"|"Final"|"40.00"|"24-05-2011"|"-"|"15-12-2011"
"Surana Corp"|"Interim"|"10.00"|"02-12-2011"|"16-12-2011"|"15-12-2011"
"Usher Agro"|"Final"|"15.00"|"30-08-2011"|"-"|"15-12-2011"
"Goldcrest Fin"|"Final"|"10.00"|"11-11-2011"|"-"|"14-12-2011"
"Goldcrest Corp"|"Final"|"10.00"|"11-11-2011"|"-"|"14-12-2011"
"Caplin Labs"|"Final"|"15.00"|"21-11-2011"|"-"|"12-12-2011"
"IMP Powers"|"Final"|"10.00"|"29-08-2011"|"-"|"12-12-2011"
"Kemrock Indus"|"Final"|"20.00"|"27-08-2011"|"-"|"12-12-2011"
"Nestle"|"Interim"|"270.00"|"24-11-2011"|"13-12-2011"|"12-12-2011"
"C & C Construct"|"Final"|"27.50"|"30-08-2011"|"-"|"08-12-2011"
"Sharon Bio Medi"|"Final"|"18.00"|"24-10-2011"|"-"|"08-12-2011"
"Visagar Polytex"|"Final"|"10.00"|"30-08-2011"|"-"|"07-12-2011"
"Global Offshore"|"Interim"|"6.00"|"25-11-2011"|"08-12-2011"|"07-12-2011"
"Indsil Hydro"|"Final"|"10.00"|"28-10-2011"|"-"|"07-12-2011"
"Ballarpur Ind"|"Final"|"30.00"|"18-08-2011"|"-"|"01-12-2011"
"Compuage Info"|"Interim"|"10.00"|"14-11-2011"|"28-11-2011"|"25-11-2011"
"Bliss GVS"|"Interim"|"35.00"|"14-11-2011"|"25-11-2011"|"24-11-2011"
"Swasti Vinayaka"|"Interim"|"10.00"|"16-11-2011"|"25-11-2011"|"24-11-2011"
"Gabriel India"|"Interim"|"40.00"|"15-11-2011"|"25-11-2011"|"24-11-2011"
"Infinite Comp"|"Interim"|"40.00"|"09-11-2011"|"25-11-2011"|"24-11-2011"
"Panama Petro"|"Interim"|"30.00"|"14-11-2011"|"25-11-2011"|"24-11-2011"
"Voith Paper Fab"|"Final"|"30.00"|"04-11-2011"|"-"|"24-11-2011"
"Starlog Enter"|"Interim"|"50.00"|"15-11-2011"|"24-11-2011"|"23-11-2011"
"Monsanto India"|"Interim"|"100.00"|"14-11-2011"|"24-11-2011"|"23-11-2011"
"Ambika Cotton"|"Interim"|"20.00"|"09-11-2011"|"23-11-2011"|"22-11-2011"
"Solar Ind"|"Interim"|"50.00"|"11-11-2011"|"23-11-2011"|"22-11-2011"
"SRF"|"Interim"|"70.00"|"14-11-2011"|"23-11-2011"|"22-11-2011"
"Shriram Trans"|"Interim"|"25.00"|"09-11-2011"|"22-11-2011"|"21-11-2011"
"Timken"|"Interim"|"200.00"|"07-11-2011"|"22-11-2011"|"21-11-2011"
"Prism Info"|"Interim"|"5.00"|"14-09-2011"|"21-11-2011"|"18-11-2011"
"Allcargo"|"Interim"|"50.00"|"04-11-2011"|"18-11-2011"|"17-11-2011"
"Astral Poly Tec"|"Interim"|"10.00"|"05-11-2011"|"19-11-2011"|"17-11-2011"
"Dynamatic Tech"|"Interim"|"30.00"|"02-11-2011"|"19-11-2011"|"17-11-2011"
"Jaypee Infra"|"Interim"|"5.00"|"08-11-2011"|"18-11-2011"|"17-11-2011"
"NMDC"|"Interim"|"100.00"|"31-10-2011"|"18-11-2011"|"17-11-2011"
"PI Industries"|"Interim"|"40.00"|"07-11-2011"|"18-11-2011"|"17-11-2011"
"Symphony"|"Final"|"100.00"|"29-07-2011"|"-"|"17-11-2011"
"SKP Securities"|"Special"|"20.00"|"29-10-2011"|"18-11-2011"|"17-11-2011"
"63 Moons Tech"|"Interim"|"100.00"|"28-10-2011"|"18-11-2011"|"17-11-2011"
"ZF Steering Gea"|"Interim"|"50.00"|"03-11-2011"|"18-11-2011"|"17-11-2011"
"Asahi Songwon"|"Interim"|"12.50"|"03-11-2011"|"17-11-2011"|"16-11-2011"
"GMM Pfaudler"|"Interim"|"35.00"|"03-11-2011"|"17-11-2011"|"16-11-2011"
"Page Industries"|"Interim"|"120.00"|"17-10-2011"|"17-11-2011"|"16-11-2011"
"Suprajit Eng"|"Interim"|"30.00"|"29-10-2011"|"17-11-2011"|"16-11-2011"
"Expleo Solution"|"Interim"|"20.00"|"03-11-2011"|"17-11-2011"|"16-11-2011"
"Birla Corp"|"Interim"|"25.00"|"31-10-2011"|"14-11-2011"|"11-11-2011"
"DCW"|"Final"|"18.00"|"16-05-2011"|"-"|"11-11-2011"
"KCP"|"Interim"|"25.00"|"21-10-2011"|"14-11-2011"|"11-11-2011"
"Rolta"|"Final"|"35.00"|"11-08-2011"|"-"|"11-11-2011"
"Shriram City"|"Interim"|"25.00"|"31-10-2011"|"14-11-2011"|"11-11-2011"
"Gati"|"Final"|"25.00"|"01-11-2011"|"-"|"09-11-2011"
"HCL Info"|"Final"|"100.00"|"17-08-2011"|"-"|"09-11-2011"
"Marico"|"Interim"|"30.00"|"18-10-2011"|"11-11-2011"|"09-11-2011"
"Sonata"|"Interim"|"50.00"|"20-10-2011"|"11-11-2011"|"09-11-2011"
"EICL"|"Interim"|"15.00"|"25-10-2011"|"09-11-2011"|"08-11-2011"
"Cyient"|"Interim"|"25.00"|"28-10-2011"|"09-11-2011"|"08-11-2011"
"Kesar Ent"|"Final"|"10.00"|"12-10-2011"|"-"|"08-11-2011"
"Sun TV Network"|"Interim"|"75.00"|"19-10-2011"|"09-11-2011"|"08-11-2011"
"Triveni Turbine"|"Interim"|"25.00"|"28-10-2011"|"09-11-2011"|"08-11-2011"
"Dabur India"|"Interim"|"55.00"|"14-10-2011"|"08-11-2011"|"04-11-2011"
"HUL"|"Interim"|"350.00"|"17-10-2011"|"08-11-2011"|"04-11-2011"
"KSB Pumps"|"Interim"|"10.00"|"18-10-2011"|"08-11-2011"|"04-11-2011"
"Navneet"|"Interim"|"30.00"|"24-10-2011"|"08-11-2011"|"04-11-2011"
"P and G"|"Final"|"225.00"|"25-08-2011"|"-"|"04-11-2011"
"Sasken Tech"|"Interim"|"25.00"|"20-10-2011"|"08-11-2011"|"04-11-2011"
"Hexaware Tech"|"Interim"|"50.00"|"20-10-2011"|"04-11-2011"|"03-11-2011"
"Foseco India"|"Interim"|"50.00"|"10-10-2011"|"04-11-2011"|"03-11-2011"
"Greaves Cotton"|"Interim"|"20.00"|"21-10-2011"|"04-11-2011"|"03-11-2011"
